pkey,Occupation_42,Is_student,activity_type,INSEE,AGE_2018,DEGREE,SEX,household_type,target
2091,"csp_6_8",FALSE,"TACT1-1","03161",51,"hd.1","Male","ft41","I"
2093,"csp_7_5",FALSE,"TACT2-1","03165",63,"hd.1.6","Male","ft43","N"
2094,"csp_2_1",FALSE,"TACT1-1","03166",48,"hd.1.3","Male","ft41","N"
2095,"csp_3_1",FALSE,"TACT1-1","03167",40,"hd.1.8","Female","ft41","I"
2097,"csp_7_7",FALSE,"TACT2-1","03172",86,"hd.1.2","Female","ft12","N"
2098,"csp_5_2",FALSE,"TACT1-1","03173",59,"hd.1.3","Male","ft41","N"
2100,"csp_7_7",FALSE,"TACT2-1","03174",75,"hd.1.2","Male","ft44","I"
2101,"csp_1_1",FALSE,"TACT1-1","03174",26,"hd.1.4","Male","ft43","I"
2102,"csp_5_2",FALSE,"TACT1-1","03175",68,"hd.1.8","Female","ft12","N"
2104,"csp_8_4",TRUE,"TACT2-2","03176",22,"hd.1.4","Male","ft32","N"
2105,"csp_7_8",FALSE,"TACT2-1","03178",70,"hd.1.3","Male","ft44","I"
2106,"csp_7_7",FALSE,"TACT2-1","03181",72,"hd.1.7","Female","ft12","I"
2113,"csp_4_2",FALSE,"TACT1-1","03185",53,"hd.1.6","Female","ft41","I"
2114,"csp_5_2",FALSE,"TACT1-1","03185",45,"hd.1.6","Female","ft41","I"
2115,"csp_8_4",TRUE,"TACT2-2","03185",17,"hd.1.1","Female","ft41","I"
2117,"csp_6_7",FALSE,"TACT1-1","03185",50,"hd.1.3","Male","ft11","I"
2118,"csp_7_7",FALSE,"TACT2-1","03185",65,"hd.1.3","Female","ft12","I"
2121,"csp_7_7",FALSE,"TACT2-1","03185",79,"hd.1.4","Female","ft12","I"
2122,"csp_2_1",FALSE,"TACT1-1","03185",32,"hd.1.5","Male","ft41","I"
2123,"csp_7_8",FALSE,"TACT2-1","03185",83,"hd.1.3","Female","ft44","I"
2124,"csp_7_2",FALSE,"TACT2-1","03185",65,"hd.1.3","Male","ft11","I"
2127,"csp_6_2",FALSE,"TACT1-2","03185",44,"hd.1.3","Female","ft32","I"
2128,"csp_7_4",FALSE,"TACT2-1","03185",64,"hd.1.8","Female","ft44","I"
2129,"csp_7_5",FALSE,"TACT2-1","03185",67,"hd.1.1","Female","ft44","I"
2131,"csp_7_8",FALSE,"TACT2-1","03185",72,"hd.2","Female","ft12","I"
2132,"csp_5_2",FALSE,"TACT1-1","03185",46,"hd.1.3","Female","ft41","I"
2136,"csp_2_2",FALSE,"TACT1-1","03185",42,"hd.1.7","Male","ft11","I"
2137,"csp_8_1",FALSE,"TACT1-2","03185",29,"hd.3","Female","ft44","I"
2138,"csp_4_5",TRUE,"TACT1-1","03185",46,"hd.1.3","Male","ft11","I"
2139,"csp_5_6",FALSE,"TACT1-1","03185",35,"hd.1.5","Female","ft41","N"
2143,"csp_6_8",FALSE,"TACT1-1","03185",58,"hd.3","Male","ft11","I"
2147,"csp_2_2",FALSE,"TACT1-1","03185",50,"hd.1.4","Male","ft41","I"
2150,"csp_8_5",TRUE,"TACT2-2","03185",15,"hd.3","Female","ft44","I"
2151,"csp_5_5",FALSE,"TACT1-1","03185",42,"hd.1.5","Female","ft44","I"
2152,"csp_5_4",FALSE,"TACT1-2","03185",64,"hd.1.6","Female","ft12","I"
2154,"csp_6_7",FALSE,"TACT1-1","03185",25,"hd.1.7","Female","ft43","I"
2156,"csp_5_3",FALSE,"TACT1-1","03185",64,"hd.1.4","Male","ft42","I"
2157,"csp_5_5",FALSE,"TACT1-2","03185",62,"hd.1.2","Female","ft44","I"
2159,"csp_4_2",FALSE,"TACT1-1","03185",41,"hd.1.6","Male","ft41","I"
2161,"csp_6_8",FALSE,"TACT1-1","03185",51,"hd.1.3","Female","ft32","I"
2164,"csp_6_8",FALSE,"TACT1-1","03185",46,"hd.1.5","Male","ft20","I"
2165,"csp_8_4",TRUE,"TACT2-2","03185",16,"hd.1.2","Male","ft41","I"
2166,"csp_7_5",FALSE,"TACT2-1","03185",75,"hd.1.2","Female","ft12","I"
2171,"csp_7_5",FALSE,"TACT2-1","03185",70,"hd.1.6","Female","ft44","I"
2172,"csp_4_3",FALSE,"TACT1-1","03186",38,"hd.1.7","Female","ft41","I"
2173,"csp_7_7",FALSE,"TACT2-1","03186",86,"hd.1.2","Female","ft12","N"
2175,"csp_5_6",FALSE,"TACT1-1","03186",23,"hd.1.5","Male","ft41","N"
2176,"csp_7_5",FALSE,"TACT2-1","03186",71,"hd.1.7","Male","ft43","I"
2177,"csp_7_2",FALSE,"TACT2-1","03187",69,"hd.1.3","Female","ft12","I"
2178,"csp_7_8",FALSE,"TACT2-1","03188",67,"hd.2","Female","ft12","I"
2179,"csp_3_4",FALSE,"TACT1-1","03188",42,"hd.1.9","Male","ft41","I"
2180,"csp_6_2",FALSE,"TACT1-1","03189",43,"hd.1.6","Male","ft41","N"
2182,"csp_5_2",FALSE,"TACT1-1","03189",53,"hd.1.4","Female","ft43","I"
2183,"csp_5_2",FALSE,"TACT1-1","03190",50,"hd.2","Female","ft43","I"
2184,"csp_4_6",FALSE,"TACT1-1","03190",31,"hd.3","Female","ft12","I"
2185,"csp_8_4",TRUE,"TACT2-2","03190",19,"hd.1.4","Male","ft32","I"
2187,"csp_4_7",FALSE,"TACT1-1","03190",31,"hd.1.6","Male","ft41","I"
2188,"csp_3_3",FALSE,"TACT1-1","03190",52,"hd.1.8","Male","ft41","I"
2189,"csp_6_8",TRUE,"TACT1-1","03190",21,"hd.1.3","Male","ft41","I"
2190,"csp_5_5",FALSE,"TACT1-1","03190",45,"hd.1.5","Female","ft41","N"
2191,"csp_7_5",FALSE,"TACT2-1","03190",66,"hd.1.7","Male","ft11","I"
2192,"csp_5_2",FALSE,"TACT1-1","03190",42,"hd.1.4","Female","ft41","I"
2193,"csp_8_4",TRUE,"TACT2-2","03190",19,"hd.1.2","Male","ft42","I"
2194,"csp_4_6",FALSE,"TACT1-1","03190",53,"hd.1.7","Male","ft41","I"
2195,"csp_8_5",TRUE,"TACT2-2","03190",17,"hd.3","Male","ft42","I"
2196,"csp_7_8",FALSE,"TACT2-1","03190",70,"hd.1.3","Male","ft44","I"
2197,"csp_6_8",FALSE,"TACT1-1","03190",27,"hd.1.3","Female","ft12","I"
2200,"csp_5_2",FALSE,"TACT1-1","03190",39,"hd.1.6","Female","ft41","I"
2201,"csp_3_7",FALSE,"TACT1-1","03190",35,"hd.1.5","Male","ft41","I"
2202,"csp_3_7",FALSE,"TACT1-1","03190",54,"hd.1.6","Female","ft41","I"
2204,"csp_3_5",FALSE,"TACT1-1","03190",45,"hd.1.2","Male","ft42","I"
2205,"csp_7_4",FALSE,"TACT2-1","03190",69,"hd.1.8","Male","ft44","I"
2206,"csp_7_5",FALSE,"TACT2-1","03190",72,"hd.1.4","Female","ft44","I"
2208,"csp_8_5",FALSE,"TACT2-5","03190",62,"hd.3","Female","ft20","I"
2209,"csp_7_1",FALSE,"TACT2-1","03190",69,"hd.2","Male","ft11","I"
2213,"csp_6_7",FALSE,"TACT1-1","03195",41,"hd.1.5","Male","ft42","N"
2218,"csp_1_3",FALSE,"TACT1-1","03204",26,"hd.1.5","Male","ft41","N"
2219,"csp_5_2",FALSE,"TACT1-1","03205",38,"hd.2","Female","ft41","N"
2221,"csp_8_5",TRUE,"TACT2-2","03211",17,"hd.3","Female","ft41","I"
2223,"csp_8_5",FALSE,"TACT2-4","03211",39,"hd.2","Female","ft42","I"
2224,"csp_8_1",FALSE,"TACT1-2","03212",20,"hd.1.2","Female","ft41","N"
2226,"csp_6_8",FALSE,"TACT1-1","03212",56,"hd.3","Male","ft41","N"
2228,"csp_2_1",FALSE,"TACT1-1","03215",53,"hd.2","Male","ft41","N"
2229,"csp_8_6",FALSE,"TACT2-1","03217",64,"hd.1.7","Female","ft44","I"
2230,"csp_7_7",FALSE,"TACT2-1","03217",80,"hd.1.1","Female","ft12","I"
2231,"csp_4_8",FALSE,"TACT1-1","03218",49,"hd.1.3","Male","ft11","I"
2232,"csp_8_4",TRUE,"TACT2-2","03219",23,"hd.1.6","Female","ft12","I"
2233,"csp_6_7",FALSE,"TACT1-1","03221",36,"hd.1.5","Male","ft11","N"
2234,"csp_3_4",TRUE,"TACT1-1","03225",27,"hd.1.8","Male","ft41","N"
2237,"csp_6_8",TRUE,"TACT1-1","03236",27,"hd.1.5","Male","ft41","I"
2239,"csp_4_7",FALSE,"TACT1-1","03236",63,"hd.1.7","Male","ft41","I"
2240,"csp_4_6",FALSE,"TACT1-1","03236",44,"hd.1.6","Female","ft41","N"
2241,"csp_2_1",FALSE,"TACT1-1","03236",58,"hd.1.3","Female","ft12","N"
2243,"csp_4_2",FALSE,"TACT1-1","03236",28,"hd.1.8","Male","ft42","I"
2244,"csp_4_3",FALSE,"TACT1-1","03236",59,"hd.1.4","Female","ft41","I"
2245,"csp_7_1",FALSE,"TACT2-1","03236",87,"hd.2","Female","ft44","I"
2247,"csp_6_2",FALSE,"TACT1-1","03240",61,"hd.1.3","Male","ft41","I"
2248,"csp_7_8",FALSE,"TACT2-1","03241",82,"hd.1.1","Female","ft12","I"
2250,"csp_8_4",TRUE,"TACT2-2","03244",16,"hd.3","Male","ft41","I"
2253,"csp_7_7",FALSE,"TACT2-1","03251",68,"hd.1.3","Male","ft44","I"
2255,"csp_6_9",FALSE,"TACT1-1","03254",65,"hd.1.4","Male","ft11","I"
2256,"csp_7_5",FALSE,"TACT2-1","03254",75,"hd.1.6","Female","ft44","I"
2257,"csp_4_6",FALSE,"TACT1-1","03254",64,"hd.1.4","Male","ft11","I"
2262,"csp_6_5",FALSE,"TACT1-1","03254",37,"hd.1.4","Male","ft42","I"
2263,"csp_8_5",FALSE,"TACT2-4","03254",40,"hd.1.3","Female","ft42","I"
2266,"csp_5_6",FALSE,"TACT1-1","03257",49,"hd.1.3","Female","ft12","N"
2267,"csp_6_7",FALSE,"TACT1-1","03258",38,"hd.1.5","Male","ft41","N"
2268,"csp_5_5",FALSE,"TACT1-2","03258",34,"hd.1.5","Male","ft43","I"
2270,"csp_4_7",FALSE,"TACT1-2","03259",23,"hd.1.6","Male","ft20","I"
2271,"csp_4_7",FALSE,"TACT1-1","03259",30,"hd.1.6","Male","ft41","N"
2273,"csp_7_5",FALSE,"TACT2-1","03262",66,"hd.1.3","Male","ft44","I"
2275,"csp_8_6",FALSE,"TACT2-5","03262",90,"hd.3","Female","ft44","I"
2277,"csp_5_2",FALSE,"TACT1-1","03262",57,"hd.1.3","Female","ft41","N"
2278,"csp_5_3",FALSE,"TACT1-2","03262",48,"hd.1.3","Female","ft44","I"
2279,"csp_7_8",FALSE,"TACT2-1","03264",92,"hd.2","Female","ft41","I"
2282,"csp_7_8",FALSE,"TACT2-1","03264",67,"hd.1.3","Female","ft42","I"
2283,"csp_5_3",FALSE,"TACT1-1","03264",27,"hd.1.4","Male","ft32","N"
2284,"csp_4_2",FALSE,"TACT1-1","03266",92,"hd.2","Male","ft42","I"
2289,"csp_4_7",FALSE,"TACT1-1","03269",30,"hd.1.3","Female","ft41","I"
2290,"csp_4_6",FALSE,"TACT1-1","03272",47,"hd.1.3","Male","ft41","I"
2292,"csp_3_3",FALSE,"TACT1-1","03273",31,"hd.1.8","Male","ft42","N"
2293,"csp_6_2",FALSE,"TACT1-1","03273",61,"hd.3","Male","ft41","I"
2295,"csp_7_7",FALSE,"TACT2-1","03275",68,"hd.1.3","Male","ft43","I"
2296,"csp_6_3",FALSE,"TACT1-1","03279",23,"hd.1.5","Male","ft41","N"
2297,"csp_7_7",FALSE,"TACT2-1","03279",79,"hd.1.4","Female","ft12","N"
2298,"csp_4_6",FALSE,"TACT1-1","03279",51,"hd.1.5","Male","ft31","I"
2302,"csp_7_5",FALSE,"TACT2-1","03283",65,"hd.1.6","Female","ft42","I"
2307,"csp_5_2",FALSE,"TACT1-1","03290",40,"hd.1.4","Female","ft41","N"
2308,"csp_5_2",FALSE,"TACT1-1","03290",22,"hd.1.6","Female","ft41","N"
2310,"csp_5_6",FALSE,"TACT1-1","03292",25,"hd.1.5","Female","ft41","N"
2311,"csp_7_7",FALSE,"TACT2-1","03292",92,"hd.1.2","Female","ft12","N"
2315,"csp_4_6",FALSE,"TACT1-1","03297",39,"hd.1.3","Female","ft41","I"
2316,"csp_3_4",TRUE,"TACT1-1","03298",40,"hd.1.9","Male","ft41","N"
2318,"csp_7_2",FALSE,"TACT2-1","03298",76,"hd.1.1","Female","ft12","I"
2319,"csp_3_1",FALSE,"TACT1-1","03298",64,"hd.1.7","Female","ft41","N"
2320,"csp_7_1",FALSE,"TACT2-1","03298",77,"hd.2","Female","ft41","N"
2321,"csp_7_2",FALSE,"TACT2-1","03298",76,"hd.1.3","Male","ft11","I"
2322,"csp_7_5",FALSE,"TACT2-1","03298",67,"hd.1.4","Male","ft11","I"
2323,"csp_8_4",TRUE,"TACT2-2","03298",19,"hd.1.4","Female","ft41","I"
2325,"csp_4_2",FALSE,"TACT1-1","03303",38,"hd.1.8","Female","ft41","I"
2326,"csp_4_3",FALSE,"TACT1-1","03303",23,"hd.1.7","Male","ft11","N"
2327,"csp_5_2",FALSE,"TACT1-1","03304",29,"hd.1.3","Female","ft43","I"
2328,"csp_7_7",FALSE,"TACT2-1","03304",54,"hd.1.3","Female","ft32","N"
2329,"csp_4_8",FALSE,"TACT1-1","03306",49,"hd.3","Male","ft41","I"
2333,"csp_7_5",FALSE,"TACT2-1","03306",70,"hd.1.4","Male","ft44","I"
2335,"csp_8_5",FALSE,"TACT2-5","03309",56,"hd.1.3","Male","ft32","I"
2336,"csp_7_8",FALSE,"TACT2-1","03309",88,"hd.2","Female","ft12","N"
2338,"csp_6_5",FALSE,"TACT1-1","03310",26,"hd.1.4","Male","ft41","I"
2341,"csp_6_8",FALSE,"TACT1-1","03310",56,"hd.2","Female","ft41","I"
2342,"csp_7_2",FALSE,"TACT2-1","03310",87,"hd.2","Female","ft44","I"
2343,"csp_7_1",FALSE,"TACT2-1","03310",87,"hd.2","Female","ft44","I"
2345,"csp_5_2",FALSE,"TACT1-2","03310",38,"hd.1.3","Female","ft42","I"
2346,"csp_6_4",FALSE,"TACT1-2","03310",30,"hd.1.2","Male","ft44","I"
2348,"csp_7_7",FALSE,"TACT2-1","03310",76,"hd.3","Female","ft44","I"
2351,"csp_7_1",FALSE,"TACT2-1","03310",69,"hd.3","Male","ft11","I"
2353,"csp_8_4",TRUE,"TACT2-2","03310",18,"hd.2","Male","ft41","I"
2354,"csp_7_8",FALSE,"TACT2-1","03310",82,"hd.1.3","Female","ft44","I"
2355,"csp_8_4",TRUE,"TACT2-2","03310",16,"hd.1.2","Male","ft41","I"
2359,"csp_8_5",FALSE,"TACT2-4","03310",52,"hd.1.4","Female","ft42","I"
2360,"csp_8_4",TRUE,"TACT2-2","03310",16,"hd.1.2","Male","ft41","I"
2362,"csp_7_5",FALSE,"TACT2-1","03310",66,"hd.1.3","Male","ft44","I"
2365,"csp_6_9",FALSE,"TACT1-1","03310",57,"hd.1.2","Female","ft43","I"
2366,"csp_6_2",FALSE,"TACT1-1","03310",53,"hd.1.3","Male","ft41","I"
2367,"csp_2_1",FALSE,"TACT1-1","03310",63,"hd.1.3","Male","ft41","I"
2368,"csp_7_8",FALSE,"TACT2-1","03310",64,"hd.1.6","Female","ft12","I"
2369,"csp_6_4",FALSE,"TACT1-1","03310",34,"hd.1.3","Male","ft42","I"
2372,"csp_5_5",FALSE,"TACT1-1","03310",28,"hd.1.4","Female","ft41","I"
2373,"csp_5_2",FALSE,"TACT1-1","03310",58,"hd.1.2","Female","ft41","N"
2374,"csp_8_6",FALSE,"TACT2-4","03311",64,"hd.1.7","Female","ft32","I"
2376,"csp_7_7",FALSE,"TACT2-1","03314",64,"hd.1.4","Female","ft44","I"
2377,"csp_8_4",TRUE,"TACT2-2","03315",22,"hd.1.8","Male","ft42","I"
2378,"csp_7_5",FALSE,"TACT2-1","03315",77,"hd.1.4","Male","ft44","I"
2382,"csp_4_7",FALSE,"TACT1-1","03319",59,"hd.1.3","Female","ft43","I"
2385,"csp_6_2",FALSE,"TACT1-1","03319",48,"hd.1.3","Male","ft41","N"
2386,"csp_3_1",FALSE,"TACT1-1","03319",31,"hd.1.8","Male","ft31","I"
2388,"csp_7_2",FALSE,"TACT2-1","03321",69,"hd.1.2","Male","ft44","I"
2389,"csp_6_2",FALSE,"TACT1-1","03321",32,"hd.1.4","Male","ft41","N"
2391,"csp_4_6",FALSE,"TACT1-1","03321",35,"hd.1.6","Male","ft42","I"
2394,"csp_7_2",FALSE,"TACT2-1","03321",72,"hd.1.1","Male","ft11","I"
2395,"csp_8_5",FALSE,"TACT2-2","03321",15,"hd.3","Male","ft42","I"
2399,"csp_7_8",FALSE,"TACT2-1","03321",62,"hd.1.3","Male","ft11","I"
2400,"csp_7_2",FALSE,"TACT2-1","03321",72,"hd.3","Male","ft43","I"
2401,"csp_7_5",FALSE,"TACT2-1","03321",74,"hd.3","Female","ft32","I"
2402,"csp_8_5",FALSE,"TACT2-5","03321",35,"hd.1","Male","ft32","I"
2403,"csp_7_5",FALSE,"TACT2-1","03321",68,"hd.3","Female","ft41","I"
2404,"csp_6_8",FALSE,"TACT1-1","03321",49,"hd.1.3","Female","ft12","I"
2405,"csp_4_5",FALSE,"TACT1-1","04001",27,"hd.1.7","Male","ft41","I"
2406,"csp_6_4",FALSE,"TACT1-1","04008",55,"hd.3","Female","ft20","I"
2408,"csp_4_5",FALSE,"TACT1-1","04013",36,"hd.1.4","Female","ft41","I"
2409,"csp_7_1",FALSE,"TACT2-1","04013",91,"hd.1.1","Female","ft12","I"
2410,"csp_2_2",FALSE,"TACT1-1","04018",37,"hd.1.3","Female","ft41","N"
2413,"csp_8_5",FALSE,"TACT2-4","04019",59,"hd.1","Female","ft44","I"
2416,"csp_7_8",FALSE,"TACT2-1","04028",74,"hd.1.4","Female","ft12","N"
2417,"csp_4_6",FALSE,"TACT1-1","04031",60,"hd.1.4","Male","ft42","I"
2419,"csp_5_2",FALSE,"TACT1-1","04034",43,"hd.1.4","Female","ft41","N"
2420,"csp_7_5",FALSE,"TACT2-1","04034",84,"hd.1.5","Male","ft44","I"
2422,"csp_2_2",FALSE,"TACT1-1","04035",62,"hd.1.6","Female","ft41","I"
2424,"csp_7_8",FALSE,"TACT2-1","04036",85,"hd.1.1","Female","ft12","I"
2427,"csp_7_4",FALSE,"TACT2-1","04039",76,"hd.1.7","Male","ft44","I"
2428,"csp_5_4",FALSE,"TACT1-1","04039",54,"hd.1.6","Female","ft32","I"
2429,"csp_8_5",FALSE,"TACT2-5","04039",49,"hd.1.3","Male","ft11","I"
2430,"csp_8_6",FALSE,"TACT2-5","04039",60,"hd.1.3","Male","ft11","I"
2431,"csp_2_1",FALSE,"TACT1-1","04043",49,"hd.1.3","Male","ft41","I"
2433,"csp_8_6",FALSE,"TACT2-4","04046",72,"hd.2","Female","ft44","I"
2435,"csp_8_1",TRUE,"TACT1-2","04049",21,"hd.1.4","Female","ft41","I"
2436,"csp_6_7",FALSE,"TACT1-1","04049",35,"hd.1.8","Male","ft42","I"
2437,"csp_4_7",FALSE,"TACT1-1","04049",50,"hd.1.6","Male","ft41","I"
2438,"csp_7_8",FALSE,"TACT2-1","04049",68,"hd.1.3","Male","ft44","I"
2440,"csp_5_2",FALSE,"TACT1-1","04053",29,"hd.1.3","Female","ft43","I"
2443,"csp_5_4",FALSE,"TACT1-1","04053",61,"hd.1.4","Female","ft43","I"
2449,"csp_5_2",FALSE,"TACT1-1","04065",44,"hd.1.7","Female","ft41","I"
2453,"csp_5_2",FALSE,"TACT1-1","04070",52,"hd.1.8","Female","ft12","I"
2454,"csp_7_7",FALSE,"TACT2-1","04070",86,"hd.1.2","Female","ft44","I"
2455,"csp_8_5",FALSE,"TACT2-5","04070",39,"hd.3","Female","ft42","I"
2456,"csp_6_7",FALSE,"TACT1-1","04070",47,"hd.1.4","Male","ft42","I"
2458,"csp_2_1",FALSE,"TACT1-1","04070",54,"hd.1.3","Male","ft41","I"
2460,"csp_2_2",FALSE,"TACT1-1","04070",58,"hd.1.3","Male","ft31","I"
2461,"csp_7_7",FALSE,"TACT2-1","04070",78,"hd.1.3","Male","ft44","I"
2462,"csp_7_5",FALSE,"TACT2-1","04070",64,"hd.1.7","Female","ft42","I"
2464,"csp_5_2",FALSE,"TACT1-1","04070",63,"hd.1.1","Male","ft11","I"
2465,"csp_8_4",TRUE,"TACT2-2","04070",18,"hd.1.5","Male","ft41","N"
2466,"csp_2_2",FALSE,"TACT1-1","04070",48,"hd.1.7","Male","ft42","I"
2468,"csp_4_6",FALSE,"TACT1-1","04070",45,"hd.1.6","Male","ft42","I"
2469,"csp_3_4",FALSE,"TACT1-1","04070",30,"hd.1.7","Male","ft42","I"
2474,"csp_5_5",FALSE,"TACT1-1","04074",26,"hd.1.6","Female","ft12","N"
2478,"csp_5_2",FALSE,"TACT1-1","04084",55,"hd.1.3","Female","ft12","N"
2481,"csp_6_2",FALSE,"TACT1-1","04088",38,"hd.1.4","Male","ft41","I"
2484,"csp_3_3",FALSE,"TACT1-1","04090",49,"hd.1.6","Male","ft42","I"
2486,"csp_7_7",FALSE,"TACT2-1","04094",70,"hd.1.3","Female","ft44","I"
2487,"csp_6_3",FALSE,"TACT1-1","04096",33,"hd.1.7","Male","ft41","I"
2492,"csp_3_3",FALSE,"TACT1-1","04106",45,"hd.1.8","Female","ft41","N"
2493,"csp_5_2",FALSE,"TACT1-1","04108",59,"hd.1.6","Female","ft43","I"
2494,"csp_4_2",FALSE,"TACT1-1","04108",40,"hd.1.5","Female","ft41","I"
2499,"csp_4_6",FALSE,"TACT1-1","04110",72,"hd.1.3","Female","ft43","I"
2501,"csp_7_8",FALSE,"TACT2-1","04112",81,"hd.2","Male","ft44","I"
2502,"csp_7_5",FALSE,"TACT2-1","04112",75,"hd.1.7","Female","ft12","I"
2505,"csp_7_7",FALSE,"TACT2-1","04112",92,"hd.1.1","Female","ft12","I"
2508,"csp_8_5",FALSE,"TACT2-5","04112",52,"hd.1.3","Female","ft42","I"
2511,"csp_7_2",FALSE,"TACT2-1","04112",67,"hd.1.3","Male","ft44","I"
2512,"csp_7_7",FALSE,"TACT2-1","04112",94,"hd.3","Male","ft44","I"
2513,"csp_7_8",FALSE,"TACT2-1","04112",64,"hd.1.1","Male","ft11","I"
2514,"csp_5_4",FALSE,"TACT1-1","04112",48,"hd.1.4","Female","ft41","N"
2515,"csp_7_7",FALSE,"TACT2-1","04112",91,"hd.1.5","Female","ft12","N"
2518,"csp_4_7",FALSE,"TACT1-1","04112",47,"hd.1.2","Male","ft41","I"
2519,"csp_6_2",FALSE,"TACT1-2","04112",53,"hd.1","Male","ft44","I"
2520,"csp_6_3",FALSE,"TACT1-2","04112",45,"hd.1.2","Female","ft20","I"
2521,"csp_7_4",FALSE,"TACT2-1","04112",92,"hd.1.2","Male","ft20","I"
2523,"csp_7_7",FALSE,"TACT2-1","04112",70,"hd.1.3","Female","ft44","N"
2525,"csp_4_5",FALSE,"TACT1-1","04112",61,"hd.1.6","Male","ft41","N"
2526,"csp_6_2",FALSE,"TACT1-2","04112",47,"hd.1.5","Male","ft11","I"
2527,"csp_7_8",FALSE,"TACT2-1","04112",66,"hd.1","Male","ft11","I"
2528,"csp_4_3",FALSE,"TACT1-1","04112",51,"hd.1.6","Male","ft41","I"
2530,"csp_3_8",FALSE,"TACT1-1","04112",54,"hd.1.6","Male","ft31","I"
2532,"csp_5_6",FALSE,"TACT1-1","04112",56,"hd.1.6","Female","ft41","N"
2533,"csp_7_1",FALSE,"TACT2-1","04112",92,"hd.1.1","Female","ft12","I"
2535,"csp_3_7",FALSE,"TACT1-1","04112",32,"hd.1.7","Female","ft41","I"
2536,"csp_7_5",FALSE,"TACT2-1","04113",78,"hd.1.6","Male","ft44","I"
2537,"csp_8_5",TRUE,"TACT2-2","04113",17,"hd.3","Female","ft32","N"
2538,"csp_7_4",FALSE,"TACT2-1","04116",64,"hd.1.3","Male","ft43","I"
2539,"csp_7_5",FALSE,"TACT2-1","04116",72,"hd.1.3","Male","ft11","I"
2541,"csp_2_2",FALSE,"TACT1-1","04116",37,"hd.1.5","Female","ft41","N"
2542,"csp_7_5",FALSE,"TACT2-1","04116",81,"hd.1.7","Female","ft12","I"
2547,"csp_7_2",FALSE,"TACT2-1","04126",68,"hd.1.2","Female","ft44","N"
2548,"csp_7_8",FALSE,"TACT2-1","04128",63,"hd.1.3","Female","ft20","I"
2550,"csp_7_8",FALSE,"TACT2-1","04133",75,"hd.2","Female","ft32","I"
2551,"csp_7_5",FALSE,"TACT2-1","04143",86,"hd.3","Female","ft12","N"
2553,"csp_8_5",FALSE,"TACT2-5","04143",45,"hd.2","Male","ft32","I"
2554,"csp_6_3",FALSE,"TACT1-1","04143",27,"hd.1.3","Male","ft41","I"
2557,"csp_6_9",FALSE,"TACT1-1","04143",47,"hd.3","Male","ft42","I"
2559,"csp_4_7",FALSE,"TACT1-1","04143",57,"hd.1.6","Male","ft41","I"
2562,"csp_7_7",FALSE,"TACT2-1","04149",77,"hd.2","Female","ft32","N"
2563,"csp_8_4",TRUE,"TACT2-2","04149",21,"hd.1.4","Male","ft44","I"
2564,"csp_7_5",FALSE,"TACT2-1","04151",69,"hd.1.7","Female","ft44","I"
2565,"csp_7_8",FALSE,"TACT2-1","04152",77,"hd.1.3","Female","ft44","I"
2567,"csp_3_7",FALSE,"TACT1-1","04152",51,"hd.1.7","Male","ft31","I"
2570,"csp_5_6",FALSE,"TACT1-2","04152",53,"hd.1.6","Female","ft20","I"
2571,"csp_4_6",FALSE,"TACT1-1","04157",30,"hd.1.6","Female","ft41","N"
2572,"csp_2_1",FALSE,"TACT1-1","04158",52,"hd.3","Male","ft41","I"
2573,"csp_8_6",FALSE,"TACT2-1","04160",66,"hd.2","Female","ft44","I"
2574,"csp_6_3",FALSE,"TACT1-1","04160",42,"hd.1.7","Male","ft42","I"
2576,"csp_5_6",FALSE,"TACT1-1","04160",55,"hd.1.6","Female","ft41","N"
2577,"csp_7_7",FALSE,"TACT2-1","04161",63,"hd.2","Female","ft44","I"
2580,"csp_5_3",FALSE,"TACT1-1","04166",59,"hd.1.2","Male","ft11","N"
2582,"csp_8_4",TRUE,"TACT2-2","04166",17,"hd.1.2","Female","ft41","I"
2583,"csp_8_5",FALSE,"TACT2-5","04166",27,"hd.2","Female","ft44","I"
2584,"csp_5_4",FALSE,"TACT1-1","04169",39,"hd.1.3","Female","ft32","I"
2585,"csp_7_2",FALSE,"TACT2-1","04171",80,"hd.1.6","Male","ft44","I"
2586,"csp_7_8",FALSE,"TACT2-1","04172",69,"hd.1.3","Male","ft44","I"
2589,"csp_8_5",FALSE,"TACT2-5","04178",39,"hd.1.8","Male","ft11","I"
2590,"csp_8_4",TRUE,"TACT2-2","04178",15,"hd.3","Male","ft41","I"
2591,"csp_7_2",FALSE,"TACT2-1","04188",86,"hd.1.1","Female","ft12","I"
2592,"csp_5_2",FALSE,"TACT1-2","04189",38,"hd.1.3","Female","ft44","I"
2594,"csp_5_6",FALSE,"TACT1-2","04192",55,"hd.1.7","Female","ft32","I"
2595,"csp_6_4",FALSE,"TACT1-1","04192",55,"hd.1.6","Female","ft32","I"
2597,"csp_8_5",FALSE,"TACT2-5","04197",53,"hd.3","Female","ft32","I"
2602,"csp_8_4",TRUE,"TACT2-2","04200",17,"hd.1.2","Female","ft41","I"
2604,"csp_7_7",FALSE,"TACT2-1","04200",73,"hd.1.1","Male","ft11","I"
2607,"csp_7_5",FALSE,"TACT2-1","04205",71,"hd.1.3","Male","ft44","I"
2608,"csp_4_2",FALSE,"TACT1-1","04205",45,"hd.1.3","Male","ft11","I"
