pkey,SPORTS
19752,"CLUB123"
19790,"CLUB119"
19802,"CLUB420"
19845,"CLUB132"
19853,"CLUB105"
19866,"CLUB413"
19869,"CLUB245"
19877,"CLUB134"
19888,"CLUB242"
19895,"CLUB402"
19935,"CLUB134"
19937,"CLUB111"
19965,"CLUB410"
19985,"CLUB258"
19989,"CLUB266"
20022,"CLUB602"
20031,"CLUB123"
20060,"CLUB132"
20066,"CLUB123"
20073,"CLUB123"
20095,"CLUB115"
20136,"CLUB410"
20139,"CLUB111"
20152,"CLUB125"
20176,"CLUB109"
20216,"CLUB111"
20217,"CLUB245"
20224,"CLUB205"
20230,"CLUB111"
20238,"CLUB115"
20240,"CLUB233"
20273,"CLUB105"
20327,"CLUB126"
20347,"CLUB109"
20358,"CLUB123"
20363,"CLUB254"
20372,"CLUB135"
20375,"CLUB604"
20393,"CLUB108"
20396,"CLUB503"
20407,"CLUB119"
20412,"CLUB111"
20431,"CLUB111"
20447,"CLUB403"
20459,"CLUB136"
20483,"CLUB109"
20484,"CLUB124"
20518,"CLUB410"
20543,"CLUB602"
20545,"CLUB111"
20571,"CLUB111"
20572,"CLUB403"
20599,"CLUB111"
20657,"CLUB123"
20664,"CLUB242"
20673,"CLUB111"
20679,"CLUB413"
20687,"CLUB410"
20691,"CLUB410"
20715,"CLUB126"
20718,"CLUB115"
20731,"CLUB111"
20737,"CLUB111"
20746,"CLUB410"
20773,"CLUB123"
20817,"CLUB410"
20834,"CLUB111"
20845,"CLUB403"
20848,"CLUB115"
20855,"CLUB503"
20859,"CLUB219"
20908,"CLUB402"
20911,"CLUB256"
20919,"CLUB245"
20929,"CLUB403"
20930,"CLUB413"
20935,"CLUB109"
20949,"CLUB111"
20974,"CLUB602"
20988,"CLUB403"
21031,"CLUB132"
21047,"CLUB133"
21070,"CLUB402"
21075,"CLUB111"
21133,"CLUB132"
21166,"CLUB135"
21216,"CLUB205"
21235,"CLUB602"
21253,"CLUB602"
21270,"CLUB221"
21291,"CLUB128"
21298,"CLUB403"
21311,"CLUB602"
21312,"CLUB218"
21324,"CLUB124"
21326,"CLUB128"
21331,"CLUB605"
21348,"CLUB123"
21350,"CLUB111"
21382,"CLUB233"
21383,"CLUB123"
21433,"CLUB604"
21447,"CLUB105"
21450,"CLUB209"
21454,"CLUB111"
21468,"CLUB123"
21476,"CLUB111"
21519,"CLUB125"
21525,"CLUB402"
21537,"CLUB125"
21546,"CLUB601"
21573,"CLUB402"
21599,"CLUB134"
21603,"CLUB115"
21605,"CLUB135"
21606,"CLUB111"
21665,"CLUB601"
21698,"CLUB209"
21724,"CLUB111"
21755,"CLUB135"
21757,"CLUB601"
21774,"CLUB403"
21783,"CLUB111"
21806,"CLUB125"
21892,"CLUB111"
21894,"CLUB245"
21905,"CLUB125"
21922,"CLUB401"
21951,"CLUB604"
21975,"CLUB109"
21990,"CLUB123"
21994,"CLUB601"
21999,"CLUB242"
22018,"CLUB401"
22047,"CLUB215"
22064,"CLUB132"
22095,"CLUB402"
22140,"CLUB113"
22145,"CLUB128"
22148,"CLUB242"
22164,"CLUB105"
22179,"CLUB111"
22198,"CLUB603"
22200,"CLUB603"
22201,"CLUB124"
22202,"CLUB115"
22206,"CLUB105"
22207,"CLUB602"
22209,"CLUB249"
22213,"CLUB242"
22221,"CLUB132"
22240,"CLUB119"
22337,"CLUB402"
22343,"CLUB123"
22345,"CLUB233"
22349,"CLUB111"
22380,"CLUB402"
22383,"CLUB204"
22399,"CLUB101"
22432,"CLUB221"
22453,"CLUB245"
22472,"CLUB105"
22495,"CLUB249"
22516,"CLUB111"
22599,"CLUB108"
22626,"CLUB219"
22640,"CLUB117"
22658,"CLUB101"
22661,"CLUB111"
22667,"CLUB115"
22676,"CLUB132"
22688,"CLUB254"
22719,"CLUB111"
22724,"CLUB401"
22731,"CLUB402"
22739,"CLUB242"
22743,"CLUB111"
22774,"CLUB111"
22777,"CLUB111"
22783,"CLUB242"
22812,"CLUB602"
22837,"CLUB402"
22864,"CLUB111"
22882,"CLUB202"
22903,"CLUB110"
22934,"CLUB123"
22947,"CLUB109"
22958,"CLUB242"
22972,"CLUB109"
22982,"CLUB404"
23007,"CLUB242"
23029,"CLUB111"
23069,"CLUB245"
23085,"CLUB109"
23110,"CLUB111"
23115,"CLUB604"
23117,"CLUB242"
23134,"CLUB245"
23147,"CLUB503"
23152,"CLUB123"
23158,"CLUB402"
23177,"CLUB218"
23186,"CLUB101"
23189,"CLUB242"
23212,"CLUB123"
23225,"CLUB242"
23235,"CLUB105"
23250,"CLUB242"
23256,"CLUB402"
23278,"CLUB103"
23344,"CLUB111"
23348,"CLUB134"
23356,"CLUB405"
23379,"CLUB117"
23398,"CLUB417"
23413,"CLUB602"
23426,"CLUB123"
23443,"CLUB123"
23453,"CLUB101"
23456,"CLUB601"
23491,"CLUB119"
23504,"CLUB133"
23511,"CLUB410"
23515,"CLUB402"
23523,"CLUB402"
23525,"CLUB121"
23534,"CLUB123"
23543,"CLUB109"
23546,"CLUB242"
23561,"CLUB221"
23564,"CLUB102"
23577,"CLUB101"
23588,"CLUB402"
23592,"CLUB503"
23601,"CLUB132"
23617,"CLUB134"
23624,"CLUB111"
23629,"CLUB111"
23640,"CLUB404"
23669,"CLUB410"
23670,"CLUB133"
23671,"CLUB111"
23672,"CLUB113"
23675,"CLUB105"
23678,"CLUB111"
23683,"CLUB410"
23686,"CLUB133"
23694,"CLUB111"
23713,"CLUB132"
23715,"CLUB117"
23720,"CLUB106"
23728,"CLUB133"
23738,"CLUB245"
23745,"CLUB242"
23774,"CLUB410"
23812,"CLUB108"
23815,"CLUB125"
23836,"CLUB119"
23847,"CLUB101"
23860,"CLUB106"
23863,"CLUB242"
23871,"CLUB111"
23883,"CLUB122"
23886,"CLUB407"
23892,"CLUB105"
23896,"CLUB401"
23901,"CLUB219"
23903,"CLUB109"
23909,"CLUB503"
23916,"CLUB123"
23918,"CLUB258"
23920,"CLUB135"
23928,"CLUB135"
23932,"CLUB233"
23940,"CLUB212"
23963,"CLUB402"
23976,"CLUB602"
24014,"CLUB129"
24023,"CLUB402"
24033,"CLUB413"
24051,"CLUB111"
24052,"CLUB219"
24078,"CLUB242"
24080,"CLUB105"
24083,"CLUB119"
24086,"CLUB111"
24087,"CLUB242"
24095,"CLUB125"
24107,"CLUB112"
24121,"CLUB111"
24145,"CLUB401"
24161,"CLUB604"
24164,"CLUB123"
24182,"CLUB601"
24186,"CLUB111"
24198,"CLUB109"
24207,"CLUB242"
24222,"CLUB111"
24234,"CLUB101"
24237,"CLUB404"
24250,"CLUB603"
24275,"CLUB221"
24278,"CLUB117"
24284,"CLUB132"
24288,"CLUB218"
24322,"CLUB402"
24324,"CLUB402"
24329,"CLUB258"
24330,"CLUB111"
24338,"CLUB410"
24344,"CLUB106"
24376,"CLUB133"
24407,"CLUB119"
24412,"CLUB115"
24428,"CLUB111"
24431,"CLUB111"
24449,"CLUB420"
24476,"CLUB135"
24481,"CLUB133"
24492,"CLUB401"
24494,"CLUB102"
24509,"CLUB402"
24519,"CLUB123"
24548,"CLUB410"
24602,"CLUB132"
24614,"CLUB129"
24630,"CLUB420"
24656,"CLUB132"
24665,"CLUB111"
24701,"CLUB417"
24802,"CLUB111"
24834,"CLUB604"
24835,"CLUB402"
24872,"CLUB410"
24873,"CLUB111"
24874,"CLUB420"
24884,"CLUB111"
24897,"CLUB132"
24903,"CLUB410"
24914,"CLUB111"
24934,"CLUB410"
24959,"CLUB103"
24967,"CLUB601"
24999,"CLUB117"
25025,"CLUB126"
25028,"CLUB105"
25030,"CLUB242"
25034,"CLUB402"
25037,"CLUB123"
25058,"CLUB413"
25064,"CLUB109"
25078,"CLUB401"
25081,"CLUB109"
25082,"CLUB221"
25092,"CLUB242"
25103,"CLUB402"
25136,"CLUB108"
25139,"CLUB133"
25142,"CLUB503"
25160,"CLUB127"
25171,"CLUB242"
25179,"CLUB202"
25185,"CLUB212"
25198,"CLUB105"
25216,"CLUB404"
25223,"CLUB124"
25225,"CLUB202"
25241,"CLUB111"
25246,"CLUB211"
25269,"CLUB123"
25270,"CLUB117"
25276,"CLUB132"
25301,"CLUB221"
25320,"CLUB133"
25325,"CLUB410"
25333,"CLUB402"
25395,"CLUB101"
25397,"CLUB125"
25437,"CLUB402"
25442,"CLUB242"
25459,"CLUB123"
25474,"CLUB133"
25492,"CLUB245"
25493,"CLUB402"
25533,"CLUB105"
25539,"CLUB210"
25541,"CLUB125"
25542,"CLUB132"
25546,"CLUB105"
25552,"CLUB252"
25566,"CLUB132"
25567,"CLUB404"
25583,"CLUB219"
25603,"CLUB219"
25616,"CLUB413"
25624,"CLUB117"
25625,"CLUB138"
25641,"CLUB221"
25642,"CLUB117"
25649,"CLUB402"
25673,"CLUB241"
25684,"CLUB402"
25727,"CLUB402"
25733,"CLUB106"
25750,"CLUB402"
25766,"CLUB402"
25768,"CLUB402"
25770,"CLUB402"
25780,"CLUB402"
25790,"CLUB111"
25798,"CLUB604"
25822,"CLUB402"
25832,"CLUB119"
25867,"CLUB221"
25892,"CLUB132"
25896,"CLUB123"
25906,"CLUB252"
25907,"CLUB129"
25920,"CLUB111"
25924,"CLUB119"
25935,"CLUB125"
25994,"CLUB132"
25999,"CLUB602"
26004,"CLUB114"
26053,"CLUB111"
26061,"CLUB134"
26077,"CLUB101"
26091,"CLUB242"
26095,"CLUB402"
26106,"CLUB402"
26118,"CLUB604"
26169,"CLUB261"
26178,"CLUB117"
26191,"CLUB133"
26219,"CLUB123"
26224,"CLUB123"
26235,"CLUB123"
26242,"CLUB503"
26269,"CLUB119"
26274,"CLUB132"
26276,"CLUB501"
26278,"CLUB402"
26289,"CLUB242"
26324,"CLUB402"
26325,"CLUB103"
26334,"CLUB115"
26357,"CLUB251"
26386,"CLUB115"
26412,"CLUB602"
26430,"CLUB134"
26443,"CLUB402"
26456,"CLUB503"
26549,"CLUB413"
26555,"CLUB111"
26570,"CLUB410"
26629,"CLUB261"
26643,"CLUB221"
26681,"CLUB123"
26682,"CLUB128"
26685,"CLUB101"
26690,"CLUB109"
26722,"CLUB109"
26727,"CLUB107"
26732,"CLUB115"
26740,"CLUB402"
26749,"CLUB105"
26779,"CLUB123"
26781,"CLUB111"
26782,"CLUB111"
26814,"CLUB117"
26826,"CLUB402"
26845,"CLUB134"
26879,"CLUB119"
26881,"CLUB402"
26902,"CLUB602"
26932,"CLUB111"
26949,"CLUB402"
26952,"CLUB115"
26965,"CLUB119"
26980,"CLUB109"
26983,"CLUB114"
26985,"CLUB123"
27008,"CLUB121"
27023,"CLUB111"
27028,"CLUB111"
27048,"CLUB123"
27062,"CLUB402"
27082,"CLUB413"
27085,"CLUB132"
27090,"CLUB115"
27112,"CLUB402"
27142,"CLUB109"
27189,"CLUB601"
27196,"CLUB402"
27212,"CLUB119"
27217,"CLUB115"
27235,"CLUB127"
27238,"CLUB604"
27248,"CLUB117"
27273,"CLUB402"
27279,"CLUB123"
27287,"CLUB261"
27288,"CLUB137"
27290,"CLUB103"
27318,"CLUB402"
27320,"CLUB111"
27362,"CLUB242"
27375,"CLUB111"
27379,"CLUB413"
27443,"CLUB206"
27450,"CLUB103"
27468,"CLUB202"
27477,"CLUB413"
27527,"CLUB123"
27532,"CLUB124"
27544,"CLUB117"
27550,"CLUB602"
27551,"CLUB105"
27561,"CLUB109"
27574,"CLUB417"
27576,"CLUB605"
27579,"CLUB261"
27581,"CLUB111"
27601,"CLUB111"
27615,"CLUB115"
27629,"CLUB218"
27650,"CLUB201"
27654,"CLUB123"
27658,"CLUB111"
27659,"CLUB109"
27666,"CLUB133"
27676,"CLUB242"
27691,"CLUB402"
27692,"CLUB402"
27764,"CLUB241"
27774,"CLUB111"
27780,"CLUB109"
27782,"CLUB404"
27792,"CLUB107"
27811,"CLUB604"
27835,"CLUB111"
27838,"CLUB125"
27848,"CLUB132"
27856,"CLUB112"
27873,"CLUB119"
27893,"CLUB101"
27900,"CLUB132"
27916,"CLUB242"
27969,"CLUB242"
27991,"CLUB115"
28035,"CLUB228"
28060,"CLUB133"
28103,"CLUB267"
28136,"CLUB110"
28138,"CLUB111"
28140,"CLUB242"
28167,"CLUB123"
28170,"CLUB413"
28172,"CLUB402"
28209,"CLUB125"
28212,"CLUB125"
28231,"CLUB109"
28244,"CLUB128"
28265,"CLUB109"
28272,"CLUB108"
28290,"CLUB134"
28293,"CLUB135"
28310,"CLUB111"
28323,"CLUB123"
28338,"CLUB111"
28340,"CLUB601"
28344,"CLUB115"
28349,"CLUB123"
28350,"CLUB245"
28367,"CLUB111"
28377,"CLUB133"
28398,"CLUB237"
28450,"CLUB133"
28516,"CLUB111"
28520,"CLUB123"
28538,"CLUB402"
28564,"CLUB207"
28585,"CLUB420"
28596,"CLUB109"
28610,"CLUB101"
28648,"CLUB125"
28662,"CLUB133"
28666,"CLUB129"
28688,"CLUB111"
28710,"CLUB101"
28789,"CLUB128"
28790,"CLUB101"
28799,"CLUB249"
28826,"CLUB242"
28880,"CLUB604"
28887,"CLUB110"
28912,"CLUB134"
28936,"CLUB123"
28939,"CLUB402"
28979,"CLUB123"
29016,"CLUB103"
29049,"CLUB245"
29062,"CLUB603"
29065,"CLUB136"
29069,"CLUB242"
29073,"CLUB264"
29077,"CLUB132"
29107,"CLUB604"
29111,"CLUB125"
29189,"CLUB413"
29194,"CLUB112"
29221,"CLUB601"
29231,"CLUB128"
29233,"CLUB604"
29271,"CLUB111"
29291,"CLUB242"
29343,"CLUB125"
29346,"CLUB242"
29352,"CLUB123"
29383,"CLUB125"
29407,"CLUB111"
29408,"CLUB134"
29418,"CLUB126"
29423,"CLUB128"
29432,"CLUB245"
29447,"CLUB109"
29453,"CLUB105"
29470,"CLUB123"
29488,"CLUB218"
29533,"CLUB109"
29597,"CLUB245"
29598,"CLUB121"
29603,"CLUB119"
29611,"CLUB124"
29618,"CLUB123"
29619,"CLUB420"
29635,"CLUB222"
29641,"CLUB228"
29670,"CLUB129"
29671,"CLUB243"
29674,"CLUB222"
29688,"CLUB101"
29699,"CLUB245"
29712,"CLUB503"
29737,"CLUB242"
29745,"CLUB402"
29746,"CLUB123"
29791,"CLUB132"
29800,"CLUB111"
29807,"CLUB106"
29839,"CLUB123"
29860,"CLUB602"
29864,"CLUB402"
29881,"CLUB101"
29886,"CLUB111"
29915,"CLUB123"
29924,"CLUB132"
29931,"CLUB127"
29948,"CLUB212"
29953,"CLUB123"
29957,"CLUB101"
29967,"CLUB601"
29968,"CLUB402"
29972,"CLUB108"
29976,"CLUB402"
29980,"CLUB103"
29987,"CLUB602"
30011,"CLUB126"
30017,"CLUB123"
30060,"CLUB124"
30075,"CLUB503"
30088,"CLUB109"
30120,"CLUB503"
30137,"CLUB242"
30147,"CLUB407"
30151,"CLUB402"
30159,"CLUB413"
30177,"CLUB115"
30200,"CLUB123"
30215,"CLUB405"
30231,"CLUB111"
30234,"CLUB111"
30242,"CLUB111"
30259,"CLUB111"
30292,"CLUB245"
30301,"CLUB111"
30313,"CLUB242"
30322,"CLUB125"
30329,"CLUB136"
30335,"CLUB109"
30368,"CLUB103"
30369,"CLUB132"
30375,"CLUB111"
30380,"CLUB413"
30384,"CLUB129"
30385,"CLUB245"
30388,"CLUB105"
30393,"CLUB109"
30414,"CLUB413"
30417,"CLUB245"
30422,"CLUB111"
30428,"CLUB111"
30438,"CLUB602"
30445,"CLUB105"
30465,"CLUB111"
30466,"CLUB132"
30475,"CLUB602"
30482,"CLUB123"
30493,"CLUB115"
30496,"CLUB245"
30499,"CLUB103"
30508,"CLUB242"
30533,"CLUB420"
30567,"CLUB407"
30575,"CLUB115"
30585,"CLUB123"
30587,"CLUB111"
30617,"CLUB403"
30623,"CLUB242"
30626,"CLUB604"
30644,"CLUB111"
30696,"CLUB221"
30697,"CLUB103"
30703,"CLUB123"
30729,"CLUB413"
30734,"CLUB245"
30736,"CLUB420"
30746,"CLUB601"
30777,"CLUB111"
30781,"CLUB413"
30787,"CLUB132"
30791,"CLUB601"
30795,"CLUB107"
30817,"CLUB112"
30876,"CLUB119"
30880,"CLUB204"
30883,"CLUB402"
30893,"CLUB115"
30898,"CLUB127"
30913,"CLUB601"
30914,"CLUB212"
30915,"CLUB129"
30918,"CLUB221"
30957,"CLUB111"
30992,"CLUB128"
31004,"CLUB258"
31011,"CLUB237"
31026,"CLUB111"
31029,"CLUB111"
31031,"CLUB105"
31043,"CLUB115"
31062,"CLUB413"
31077,"CLUB109"
31085,"CLUB123"
31095,"CLUB221"
31109,"CLUB132"
31120,"CLUB133"
31128,"CLUB242"
31138,"CLUB602"
31139,"CLUB106"
31148,"CLUB128"
31164,"CLUB111"
31193,"CLUB402"
31197,"CLUB242"
31198,"CLUB115"
31202,"CLUB123"
31214,"CLUB107"
31221,"CLUB404"
31245,"CLUB218"
31248,"CLUB413"
31258,"CLUB111"
31278,"CLUB404"
31290,"CLUB115"
31298,"CLUB218"
31301,"CLUB111"
31310,"CLUB602"
31317,"CLUB109"
31319,"CLUB132"
31320,"CLUB101"
31332,"CLUB402"
31347,"CLUB602"
31376,"CLUB111"
31388,"CLUB111"
31401,"CLUB413"
31402,"CLUB218"
31422,"CLUB209"
31434,"CLUB119"
31442,"CLUB115"
31443,"CLUB413"
31447,"CLUB111"
31455,"CLUB123"
31474,"CLUB136"
31505,"CLUB124"
31521,"CLUB242"
31524,"CLUB115"
31536,"CLUB219"
31571,"CLUB111"
31613,"CLUB135"
31614,"CLUB123"
31628,"CLUB123"
31643,"CLUB105"
31655,"CLUB242"
31658,"CLUB111"
31690,"CLUB101"
31708,"CLUB117"
31711,"CLUB605"
31715,"CLUB111"
31729,"CLUB109"
31743,"CLUB111"
31745,"CLUB111"
31753,"CLUB221"
31835,"CLUB242"
31836,"CLUB111"
31853,"CLUB402"
31856,"CLUB245"
31870,"CLUB218"
31887,"CLUB242"
31888,"CLUB602"
31889,"CLUB242"
31906,"CLUB233"
31915,"CLUB413"
31922,"CLUB111"
31927,"CLUB111"
31955,"CLUB103"
31961,"CLUB221"
31973,"CLUB410"
31980,"CLUB133"
32000,"CLUB111"
32022,"CLUB126"
32048,"CLUB115"
32052,"CLUB218"
32110,"CLUB602"
32118,"CLUB105"
32131,"CLUB108"
32142,"CLUB101"
32147,"CLUB210"
32148,"CLUB134"
32149,"CLUB124"
32153,"CLUB111"
32178,"CLUB218"
32186,"CLUB115"
32201,"CLUB124"
32202,"CLUB605"
32227,"CLUB402"
32258,"CLUB111"
32263,"CLUB105"
32317,"CLUB111"
32321,"CLUB413"
32351,"CLUB123"
32352,"CLUB245"
32395,"CLUB242"
32423,"CLUB132"
32452,"CLUB410"
32471,"CLUB132"
32492,"CLUB107"
32499,"CLUB123"
32505,"CLUB605"
32538,"CLUB107"
32551,"CLUB132"
32599,"CLUB420"
32601,"CLUB604"
32624,"CLUB115"
32631,"CLUB402"
32663,"CLUB109"
32668,"CLUB402"
32677,"CLUB218"
32682,"CLUB111"
32702,"CLUB211"
32718,"CLUB401"
32733,"CLUB111"
32736,"CLUB111"
32763,"CLUB401"
32768,"CLUB109"
32783,"CLUB113"
32788,"CLUB111"
32803,"CLUB249"
32818,"CLUB601"
32829,"CLUB109"
32846,"CLUB402"
32857,"CLUB410"
32872,"CLUB402"
32893,"CLUB133"
32899,"CLUB410"
32937,"CLUB402"
32943,"CLUB133"
32947,"CLUB401"
32949,"CLUB103"
32952,"CLUB604"
32963,"CLUB211"
32967,"CLUB242"
32972,"CLUB111"
32978,"CLUB111"
32983,"CLUB413"
32985,"CLUB202"
32996,"CLUB103"
33005,"CLUB119"
33013,"CLUB111"
33043,"CLUB420"
33045,"CLUB111"
33048,"CLUB103"
33060,"CLUB402"
33061,"CLUB242"
33088,"CLUB135"
33093,"CLUB133"
33100,"CLUB127"
33112,"CLUB211"
33126,"CLUB128"
33127,"CLUB218"
33136,"CLUB124"
33138,"CLUB121"
33155,"CLUB402"
33183,"CLUB135"
33236,"CLUB102"
33243,"CLUB603"
33273,"CLUB249"
33295,"CLUB111"
33296,"CLUB119"
33336,"CLUB402"
33354,"CLUB601"
33404,"CLUB132"
33412,"CLUB602"
33415,"CLUB119"
33425,"CLUB402"
33473,"CLUB267"
33483,"CLUB111"
33487,"CLUB402"
33496,"CLUB128"
33497,"CLUB242"
33499,"CLUB211"
33503,"CLUB202"
33511,"CLUB123"
33528,"CLUB101"
33557,"CLUB420"
33567,"CLUB410"
33617,"CLUB123"
33621,"CLUB249"
33647,"CLUB402"
33654,"CLUB404"
33657,"CLUB256"
33659,"CLUB402"
33689,"CLUB133"
33697,"CLUB123"
33704,"CLUB603"
33705,"CLUB125"
33713,"CLUB111"
33760,"CLUB127"
33767,"CLUB132"
33776,"CLUB135"
33778,"CLUB111"
33786,"CLUB109"
33787,"CLUB501"
33788,"CLUB233"
33800,"CLUB111"
33828,"CLUB211"
33835,"CLUB209"
33857,"CLUB212"
33876,"CLUB119"
33925,"CLUB604"
33961,"CLUB123"
33964,"CLUB258"
33975,"CLUB218"
33980,"CLUB132"
33994,"CLUB119"
34014,"CLUB603"
34032,"CLUB111"
34037,"CLUB117"
34038,"CLUB115"
34054,"CLUB121"
34062,"CLUB133"
34063,"CLUB252"
34075,"CLUB415"
34076,"CLUB121"
34082,"CLUB242"
34101,"CLUB604"
34161,"CLUB134"
34188,"CLUB101"
34209,"CLUB133"
34215,"CLUB123"
34229,"CLUB101"
34245,"CLUB125"
34251,"CLUB105"
34255,"CLUB111"
34270,"CLUB134"
34275,"CLUB133"
34284,"CLUB218"
34302,"CLUB111"
34323,"CLUB109"
34342,"CLUB108"
34345,"CLUB123"
34351,"CLUB119"
34365,"CLUB133"
34413,"CLUB258"
34416,"CLUB123"
34462,"CLUB119"
34464,"CLUB249"
34471,"CLUB124"
34474,"CLUB404"
34486,"CLUB123"
34488,"CLUB402"
34531,"CLUB410"
34535,"CLUB604"
34537,"CLUB604"
34541,"CLUB132"
34545,"CLUB604"
34557,"CLUB101"
34586,"CLUB206"
34601,"CLUB109"
34611,"CLUB111"
34634,"CLUB503"
34645,"CLUB404"
34649,"CLUB211"
34651,"CLUB413"
34653,"CLUB133"
34657,"CLUB242"
34659,"CLUB121"
34676,"CLUB111"
34692,"CLUB404"
34720,"CLUB119"
34755,"CLUB201"
34757,"CLUB403"
34765,"CLUB404"
34778,"CLUB211"
34791,"CLUB123"
34827,"CLUB105"
34859,"CLUB128"
34860,"CLUB401"
34876,"CLUB403"
34884,"CLUB202"
34911,"CLUB403"
34956,"CLUB108"
34961,"CLUB216"
34964,"CLUB101"
34974,"CLUB218"
34979,"CLUB242"
34991,"CLUB402"
34993,"CLUB602"
34995,"CLUB221"
34999,"CLUB111"
35020,"CLUB117"
35034,"CLUB128"
35047,"CLUB245"
35053,"CLUB108"
35062,"CLUB105"
35063,"CLUB123"
35068,"CLUB242"
35104,"CLUB402"
35111,"CLUB108"
35138,"CLUB123"
35140,"CLUB121"
35142,"CLUB245"
35155,"CLUB221"
35174,"CLUB111"
35189,"CLUB129"
35278,"CLUB249"
35290,"CLUB218"
35316,"CLUB242"
35328,"CLUB111"
35341,"CLUB413"
35350,"CLUB402"
35363,"CLUB106"
35368,"CLUB402"
35392,"CLUB123"
35397,"CLUB602"
35416,"CLUB413"
35424,"CLUB101"
35449,"CLUB117"
35460,"CLUB242"
35470,"CLUB216"
35476,"CLUB128"
35489,"CLUB125"
35497,"CLUB413"
35499,"CLUB237"
35510,"CLUB137"
35511,"CLUB402"
35532,"CLUB109"
35540,"CLUB133"
35551,"CLUB132"
35552,"CLUB402"
35554,"CLUB133"
35561,"CLUB212"
35572,"CLUB123"
35574,"CLUB216"
35578,"CLUB242"
35587,"CLUB101"
35609,"CLUB105"
35610,"CLUB210"
35618,"CLUB252"
35623,"CLUB604"
35642,"CLUB604"
35646,"CLUB119"
35686,"CLUB109"
35688,"CLUB123"
35693,"CLUB420"
35712,"CLUB109"
35714,"CLUB210"
35719,"CLUB124"
35735,"CLUB103"
35738,"CLUB111"
35740,"CLUB402"
35741,"CLUB218"
35746,"CLUB402"
35755,"CLUB402"
35783,"CLUB123"
35789,"CLUB245"
35798,"CLUB402"
35817,"CLUB111"
35823,"CLUB111"
35841,"CLUB413"
35859,"CLUB111"
35896,"CLUB117"
35897,"CLUB402"
35901,"CLUB209"
35911,"CLUB131"
35913,"CLUB111"
35950,"CLUB602"
35954,"CLUB245"
35978,"CLUB402"
35982,"CLUB221"
35992,"CLUB413"
35993,"CLUB218"
36008,"CLUB109"
36015,"CLUB123"
36030,"CLUB123"
36033,"CLUB109"
36063,"CLUB218"
36073,"CLUB111"
36094,"CLUB402"
36109,"CLUB245"
36110,"CLUB123"
36118,"CLUB132"
36121,"CLUB402"
36140,"CLUB402"
36142,"CLUB105"
36143,"CLUB111"
36198,"CLUB105"
36203,"CLUB403"
36218,"CLUB605"
36230,"CLUB402"
36234,"CLUB111"
36253,"CLUB111"
36254,"CLUB111"
36268,"CLUB134"
36284,"CLUB111"
36311,"CLUB123"
36325,"CLUB105"
36338,"CLUB125"
36366,"CLUB410"
36370,"CLUB125"
36373,"CLUB415"
36399,"CLUB111"
36404,"CLUB101"
36409,"CLUB209"
36422,"CLUB111"
36424,"CLUB105"
36432,"CLUB242"
36452,"CLUB402"
36458,"CLUB115"
36468,"CLUB413"
36493,"CLUB410"
36512,"CLUB105"
36522,"CLUB402"
36533,"CLUB103"
36542,"CLUB413"
36547,"CLUB109"
36550,"CLUB417"
36606,"CLUB115"
36613,"CLUB129"
36617,"CLUB501"
36629,"CLUB124"
36647,"CLUB410"
36653,"CLUB111"
36655,"CLUB221"
36656,"CLUB245"
36665,"CLUB245"
36668,"CLUB245"
36719,"CLUB218"
36745,"CLUB109"
36748,"CLUB221"
36756,"CLUB132"
36767,"CLUB420"
36807,"CLUB245"
36868,"CLUB115"
36871,"CLUB402"
36877,"CLUB111"
36879,"CLUB124"
36891,"CLUB111"
36902,"CLUB133"
36926,"CLUB119"
36927,"CLUB113"
36943,"CLUB403"
36966,"CLUB402"
36970,"CLUB402"
36983,"CLUB402"
36993,"CLUB402"
36994,"CLUB123"
36996,"CLUB211"
37025,"CLUB410"
37026,"CLUB221"
37048,"CLUB218"
37052,"CLUB109"
37067,"CLUB245"
37129,"CLUB129"
37131,"CLUB105"
37133,"CLUB132"
37146,"CLUB401"
37156,"CLUB402"
37158,"CLUB402"
37159,"CLUB133"
37164,"CLUB402"
37187,"CLUB111"
37193,"CLUB105"
37215,"CLUB123"
37218,"CLUB258"
37237,"CLUB109"
37253,"CLUB105"
37256,"CLUB111"
37278,"CLUB111"
37294,"CLUB111"
37312,"CLUB402"
37316,"CLUB111"
37339,"CLUB115"
37348,"CLUB403"
37356,"CLUB117"
37383,"CLUB123"
37404,"CLUB111"
37413,"CLUB218"
37416,"CLUB119"
37420,"CLUB242"
37456,"CLUB503"
37469,"CLUB106"
37472,"CLUB604"
37479,"CLUB420"
37489,"CLUB111"
37497,"CLUB111"
37498,"CLUB111"
37500,"CLUB261"
37517,"CLUB115"
37526,"CLUB245"
37528,"CLUB125"
37532,"CLUB604"
37533,"CLUB105"
37540,"CLUB604"
37548,"CLUB111"
37549,"CLUB109"
37552,"CLUB117"
37554,"CLUB105"
37559,"CLUB123"
37575,"CLUB211"
37582,"CLUB133"
37593,"CLUB410"
37599,"CLUB604"
37609,"CLUB119"
37611,"CLUB101"
37613,"CLUB111"
37624,"CLUB213"
37625,"CLUB602"
37629,"CLUB111"
37658,"CLUB135"
37670,"CLUB127"
37702,"CLUB123"
37707,"CLUB111"
37708,"CLUB111"
37728,"CLUB403"
37730,"CLUB403"
37749,"CLUB212"
37790,"CLUB124"
37794,"CLUB206"
37796,"CLUB604"
37799,"CLUB105"
37810,"CLUB119"
37811,"CLUB119"
