pkey,ECO_SECT,previous_dep,job_dep,work_desc,Type_of_contract,JOB_CATEGORY,work_condition,employer_type,working_hours,employee_count
19836,"QB","06","06","636d","CDI","O","C","ct_9",1831,"tr_4"
19842,"GZ","07","07","625f","CDI","O","C","ct_9",1858,"tr_3"
19853,"NZ",NA,NA,"681a","TTP","O","N","ct_9",307,"tr_1"
19855,"NZ","78","17","551a","CDI","O","C","ct_9",1813,"tr_3"
19857,"MA","66","66","461d","CDI","O","P","ct_9",692,"tr_1"
19869,"PZ","67","67","653a","AUT","O","C","ct_1",1820,"tr_6"
19884,"RZ","75","75","524b","CDI","O","C","ct_1",1842,"tr_6"
19886,"NZ","38","38","684a","CDI","O","C","ct_9",1675,"tr_1"
19899,"KZ",NA,NA,"467a","CDI","O","C","ct_9",1791,"tr_1"
19902,"MB","17","33","451e","CDI","O","C","ct_1",1511,"tr_5"
19916,"QA","54","54","526a","CDI","O","C","ct_8",645,"tr_5"
19933,"QB","02","02","563b","CDI","O","C",NA,746,NA
19937,"QA","75","75","344a","CDI","O","C",NA,182,NA
19938,"QA",NA,NA,"525d","CDI","O","C","ct_9",2052,"tr_4"
19969,"NZ","31","31","684a","CDI","O","P","ct_9",2252,"tr_6"
19975,"MA","35","35","478a","CDI","O","C","ct_9",1901,"tr_5"
19981,"NZ","89","89","643a","CDI","O","C","ct_9",1573,"tr_4"
19982,"GZ","69","69","477a","CDI","O","C","ct_9",1729,"tr_6"
19984,"QB","21","21","563b","CDI","O","P","ct_8",524,"tr_3"
19988,"MA","95","95","479b","CDI","O","C","ct_9",1703,"tr_2"
19990,"CL","62","59","673c","CDI","O","P","ct_9",448,"tr_6"
19994,"CA","61","61","674c","CDI","O","C","ct_9",1939,"tr_5"
19997,"CC","70","70","476b","CDI","O","C","ct_9",1721,"tr_5"
20001,"TZ","24","24","563c","CDI","O","N","ct_7",2913,"tr_1"
20002,"OZ",NA,"66","461f","CDI","O","P","ct_1",1456,"tr_3"
20007,"QB","86","86","526d","CDI","O","P","ct_8",721,"tr_5"
20019,"HZ","76","76","643a","CDI","O","C","ct_9",1904,"tr_5"
20020,"NZ","79","79","376e","CDI","O","C","ct_9",1820,"tr_6"
20025,"FZ","94","91","481b","CDI","O","C","ct_9",1758,"tr_6"
20026,"QB","78","78","526a","CDI","O","C","ct_8",2890,"tr_3"
20027,"GZ","83","75","463d","CDI","O","C","ct_9",1820,"tr_6"
20028,"HZ","77","91","546e","CDI","O","C","ct_9",1438,"tr_5"
20034,"QA",NA,NA,"526b","CDI","O","P","ct_9",1455,"tr_1"
20041,"QB","14","14","423b","CDI","O","C","ct_8",1306,"tr_4"
20045,"QB","83","83","422a","CDI","O","P","ct_8",647,"tr_4"
20058,"EZ","44","44","684a","CDI","O","C","ct_9",1634,"tr_4"
20060,"MA","62","62","472a","CDI","O","C","ct_9",1419,"tr_1"
20064,"QB","13","13","526a","CDI","O","C","ct_9",1805,"tr_4"
20066,"BZ","69","69","641a","CDI","O","C","ct_9",1673,"tr_4"
20077,"GZ",NA,NA,"634a","CDI","O","C","ct_9",1813,"tr_1"
20081,"CC","59","59","627f","CDI","O","C","ct_9",768,"tr_2"
20084,"KZ","60","14","684a","CDI","O","C","ct_9",1561,"tr_2"
20086,"GZ","75","75","551a","CDI","O","C","ct_9",1820,"tr_5"
20087,"MB","91","91","342g","CDI","O","C","ct_5",1820,"tr_6"
20090,"IZ","06","06","636d","CDD","O","P","ct_9",1054,"tr_1"
20102,"DZ","31","31","461d","CDI","O","C","ct_9",1819,"tr_6"
20103,"QA","78","78","431f","CDI","O","C","ct_9",1937,"tr_6"
20116,"OZ","25","25","451g","AUT","O","C","ct_2",1820,"tr_6"
20122,"CL","13","13","477a","CDI","O","C","ct_9",1628,"tr_6"
20125,"CM","09","09","433c","CDI","O","C","ct_6",1555,"tr_1"
20128,"FZ","17","17","633b","CDI","O","C","ct_9",1517,"tr_1"
20133,"QA","85","85","525d","CDI","O","C","ct_8",1820,"tr_5"
20135,"SZ","09","09","331a","CDI","O","P","ct_4",1239,"tr_4"
20136,"HZ","62","59","466b","CDI","O","C","ct_9",1238,"tr_5"
20147,"QA","85","85","431f","CDD","O","C","ct_3",1162,"tr_6"
20148,"MA","71","71","542a","CDI","O","P","ct_9",305,"tr_1"
20161,"OZ","61","61","523c","CDI","O","P","ct_2",1664,"tr_1"
20164,"GZ","49","49","554f","CDI","O","P","ct_9",302,"tr_1"
20168,"NZ","44","44","684a","CDI","O","P","ct_9",1881,"tr_5"
20169,"QB","44","44","676e","AUT","O","C","ct_8",1806,"tr_5"
20173,"GZ","67","67","676c","CDI","O","C","ct_9",1334,"tr_2"
20206,"NZ","88","93","534a","CDI","O","C","ct_9",1899,"tr_6"
20217,"PZ","92","75","421b","CDI","O","C","ct_1",1837,"tr_6"
20227,"MA","40","40","634c","CDI","O","C","ct_9",1517,"tr_1"
20228,"QB","01","01","431f","CDI","O","C","ct_8",1183,"tr_4"
20251,"QA","85","85","632k","CDI","O","C",NA,121,NA
20257,"DZ","26","26","372d","CDI","O","C","ct_9",1670,"tr_3"
20271,"KZ","92","92","462e","CDI","O","C","ct_9",1712,"tr_3"
20283,"QB","92","92","525d","CDI","O","P","ct_8",1037,"tr_4"
20285,"CA","73","73","554a","TOA","O","P","ct_9",503,"tr_1"
20286,"GZ","17","17","643a","CDI","O","C","ct_9",1784,"tr_1"
20287,"QB","64","64","526a","CDI","O","P","ct_8",1127,"tr_3"
20290,"GZ","67","67","543f","CDI","O","P","ct_9",989,"tr_5"
20294,"NZ","13","13","676c","TTP","O","C","ct_9",1894,"tr_1"
20306,"PZ","69","69","341b","CDI","O","C","ct_8",2028,"tr_3"
20308,"HZ","02","02","521a","AUT","O","C","ct_9",1820,"tr_3"
20309,"PZ","13","13","424a","CDI","O","C","ct_9",629,"tr_1"
20310,"CF","53","53","625c","CDI","O","C","ct_9",1738,"tr_6"
20319,"HZ","14","14","676d","CDI","O","C","ct_9",1820,"tr_6"
20326,"FZ","77","94","681a","CDI","O","C","ct_9",1424,"tr_2"
20333,"CA","42","42","461e","CDI","O","C","ct_9",1834,"tr_5"
20335,"OZ","49","49","524c","CDI","O","C","ct_2",1820,"tr_6"
20336,"GZ","71","71","374c","CDI","O","C","ct_9",1596,"tr_6"
20338,"QB","68","68","526a","CDI","O","P","ct_8",814,"tr_5"
20340,"QA","89","89","526e","CDI","O","P","ct_9",358,"tr_4"
20342,"QB","44","44","541c","CDI","O","P","ct_9",1324,"tr_4"
20353,"MA","10","10","676e","CDI","O","C","ct_9",1767,"tr_4"
20358,"OZ",NA,NA,"525b","CDI","O","C","ct_2",1820,"tr_6"
20367,"NZ","83","13","534a","CDI","O","C","ct_9",1020,"tr_3"
20368,"NZ","78","78","684a","CDI","O","P","ct_9",1019,"tr_4"
20371,"CI","28","78","461e","CDI","O","C","ct_9",901,"tr_6"
20377,"PZ","13","13","543h","CDI","O","C","ct_8",710,"tr_0"
20381,"QA","68","68","526e","CDI","O","P","ct_9",1390,"tr_3"
20396,"SZ","22","22","524c","CDI","O","C","ct_4",1835,"tr_5"
20399,"IZ","93","95","561c","CDI","O","C","ct_9",968,"tr_1"
20400,"QB","35","53","526d","CDI","O","C","ct_8",1994,"tr_3"
20410,"HZ","89","89","451a","CDI","O","C","ct_9",1824,"tr_3"
20416,"KZ","30","30","545c","CDI","O","C","ct_6",1845,"tr_1"
20418,"QB","68","68","563a","CDI","O","N","ct_7",3000,"tr_1"
20426,"QA","92","75","432b","CDI","O","P","ct_8",429,"tr_3"
20427,"GZ","71","49","463c","CDI","O","C","ct_9",1820,"tr_5"
20430,"QA","29","29","542a","CDI","O","C","ct_8",1820,"tr_2"
20435,"QB","78","78","525d","CDI","O","C","ct_9",1201,"tr_4"
20441,"QA","92","75","478b","CDI","O","C","ct_8",1820,"tr_6"
20447,"OZ","93","94","333e","CDI","O","P","ct_8",1575,"tr_3"
20448,"GZ","78","78","462e","CDI","O","C","ct_9",1554,"tr_2"
20453,"DZ","17","17","461d","CDI","O","C","ct_9",1142,"tr_5"
20461,"MA","75","75","543g","CDI","O","C","ct_6",1549,"tr_1"
20467,"GZ","01","69","554a","CDI","O","P","ct_9",1287,"tr_5"
20475,"CM","39","39","673c","CDI","O","C","ct_9",498,"tr_1"
20480,"GZ","12","12","463c","CDI","O","C","ct_9",1517,"tr_1"
20487,"HZ","56","56","643a","CDI","O","P",NA,408,NA
20497,"LZ","75","92","462e","CDI","O","C","ct_9",1470,"tr_2"
20509,"FZ","35","35","673c","CDI","O","C","ct_9",1688,"tr_3"
20510,"QB","29","29","526a","CDI","O","C","ct_8",1820,"tr_4"
20519,"QB","69","69","563a","CDI","O","N","ct_7",3000,"tr_1"
20529,"QA","52","28","344a","CDI","O","C","ct_3",207,"tr_6"
20539,"PZ","60","60","691e","CDI","O","C","ct_6",2200,"tr_3"
20556,"GZ","27","76","554a","CDI","O","P","ct_9",715,"tr_1"
20566,"CH","95","95","673a","CDI","O","C","ct_9",437,"tr_2"
20572,"OZ",NA,NA,"525a","CDI","O","C","ct_2",1820,"tr_6"
20592,"IZ","92","92","488a","CDI","O","C","ct_9",1930,"tr_1"
20593,"NZ","02","91","534a","CDI","O","C","ct_9",1947,"tr_6"
20598,"OZ","75","93","523b","CDI","O","C","ct_1",1820,"tr_6"
20612,"TZ","71","21","563a","CDI","O","C",NA,255,NA
20613,"GZ","75","93","556a","CDI","O","P","ct_9",995,"tr_1"
20614,"PZ","11","11","423a","CDI","O","C","ct_9",1722,"tr_1"
20622,"CJ","06","06","622f","CDI","O","C","ct_9",1763,"tr_6"
20625,"CE","04","04","533a","CDI","O","C","ct_9",1644,"tr_5"
20627,"CG","30","26","475b","CDI","O","C","ct_9",2130,"tr_6"
20641,"MA","33","33","472a","CDI","O","C","ct_6",2004,"tr_1"
20643,"QA","30","30","431f","CDI","O","C","ct_8",455,"tr_3"
20650,"OZ","14","14","684a","CDI","O","C","ct_8",2044,"tr_6"
20652,"QB","78","78","526c","CDI","O","C","ct_9",1593,"tr_1"
20663,"TZ",NA,NA,"563c","CDI","O","N","ct_7",714,"tr_1"
20667,"CL","52","52","672a","CDI","O","C","ct_9",1826,"tr_4"
20676,"CH","46","47","628g","CDI","O","C","ct_9",1339,"tr_2"
20684,"HZ","84","54","526d","CDI","O","N","ct_9",740,"tr_5"
20689,"QB","67","67","685a","AUT","X","C","ct_8",1720,"tr_5"
20698,"MB","94","92","479a","CDI","O","C","ct_5",1835,"tr_6"
20708,"JA","75","92","542a","CDI","O","P","ct_9",1456,"tr_5"
20714,"PZ","80","60","421b","CDI","O","C","ct_8",1809,"tr_3"
20719,"SZ","28","28","435b","CDI","O","C","ct_8",622,"tr_1"
20726,"QB","93","75","563b","CDI","O","N","ct_7",1757,"tr_1"
20727,"PZ","29","29","525b","CDI","O","C","ct_8",682,"tr_6"
20728,"GZ","11","11","462b","CDI","O","P","ct_9",1408,"tr_3"
20729,"NZ","92","92","684a","CDI","O","C","ct_9",1793,"tr_6"
20735,"RZ","75","75","524b","CDI","O","C","ct_1",1814,"tr_6"
20749,"LZ","64","64","462a","CDI","O","N","ct_9",890,"tr_0"
20752,"HZ","69","69","641b","CDI","O","C","ct_9",470,"tr_6"
20769,"OZ","86","86","524c","AUT","O","P",NA,222,NA
20772,"TZ","67","67","563c","CDI","O","C",NA,331,NA
20777,"GZ","69","69","634c","CDI","O","C","ct_9",1524,"tr_3"
20801,"QA","37","37","525d","CDI","O","C","ct_9",1813,"tr_6"
20807,"NZ","93","51","389a","CDI","O","C","ct_9",1613,"tr_1"
20817,"CF","27","27","484a","CDI","O","C","ct_9",438,"tr_6"
20825,"FZ","33","33","380a","CDI","O","C","ct_9",1772,"tr_2"
20827,"QA","24","24","461d","CDI","O","P","ct_8",1092,"tr_6"
20833,"QB","61","61","563a","CDI","O","P",NA,239,NA
20839,"QB","82","82","344b","CDI","O","P","ct_8",637,"tr_3"
20845,"QB","30","30","563a","CDI","O","N","ct_7",628,"tr_1"
20851,"QB","35","35","525d","CDI","O","C","ct_8",1820,"tr_5"
20862,"FZ","77","77","633a","CDI","O","C","ct_9",377,"tr_3"
20865,"FZ","28","28","633a","CDI","O","C","ct_9",910,"tr_1"
20867,"QB","49","49","525d","CDI","O","P","ct_8",1395,"tr_4"
20872,"GZ","94","77","463e","CDI","O","C","ct_9",1542,"tr_4"
20906,"CH","38","38","673a","CDI","O","C","ct_9",926,"tr_3"
20908,"TZ","02","02","563c","AUT","O","C",NA,1121,NA
20912,"IZ","38","38","561b","CDI","O","P","ct_9",872,"tr_3"
20919,"LZ","69","69","461f","CDI","O","C","ct_5",1733,"tr_6"
20920,"QB","34","34","434d","CDI","O","C","ct_8",1820,"tr_4"
20923,"GZ","38","69","461d","CDI","O","C","ct_9",996,"tr_2"
20925,"NZ","59","59","526b","CDI","O","P","ct_9",1473,"tr_1"
20928,"PZ","74","74","422e","CDI","O","P","ct_8",1421,"tr_1"
20947,"PZ","38","38","524c","CDI","O","C","ct_4",455,"tr_4"
20961,"HZ",NA,NA,"521a","CDI","O","C","ct_9",1780,"tr_6"
20990,"CJ","79","79","483a","CDI","O","C","ct_9",2103,"tr_3"
20998,"QA","64","64","526a","CDI","O","C","ct_8",1214,"tr_5"
21001,"NZ","75","91","684a","CDI","O","P","ct_9",712,"tr_6"
21054,"NZ","80","80","676c","CDI","O","C","ct_9",1157,"tr_5"
21070,"NZ","50","35","684a","CDI","O","C","ct_9",417,"tr_6"
21071,"NZ","06","06","534a","CDI","O","C","ct_9",1820,"tr_2"
21087,"HZ","35","35","676c","CDI","O","C","ct_9",1568,"tr_5"
21092,"HZ","44","44","641b","CDI","O","P","ct_9",420,"tr_5"
21097,"QA","93","93","525d","CDI","O","C","ct_9",1852,"tr_6"
21115,"QB","62","62","525d","CDI","O","C","ct_3",1836,"tr_4"
21122,"MC","44","44","372a","CDI","O","C","ct_9",1950,"tr_1"
21133,"JB","78","75","478d","AUT","O","P","ct_9",889,"tr_5"
21147,"QB","44","44","525d","CDI","O","C","ct_8",1568,"tr_4"
21150,"TZ","03","18","563c","CDD","O","P",NA,557,NA
21153,"OZ","95","75","333e","CDI","O","C","ct_1",1820,"tr_5"
21154,"FZ","85","85","632g","CDI","O","C","ct_9",1810,"tr_2"
21164,"NZ",NA,NA,"684a","CDI","O","C","ct_9",1978,"tr_5"
21167,"CE","74","74","674a","CDI","O","C","ct_9",1874,"tr_3"
21168,"HZ","93","75","477b","CDI","O","C","ct_5",1824,"tr_6"
21180,"HZ",NA,NA,"653a","CDI","O","C","ct_9",1820,"tr_6"
21197,"QA","02","02","451h","CDI","O","C","ct_8",1522,"tr_6"
21198,"QA","68","68","526a","CDD","O","C","ct_3",263,"tr_6"
21201,"OZ",NA,NA,"333a","CDI","O","C",NA,181,NA
21209,"GZ","64","64","551a","CDI","O","C","ct_9",1820,"tr_5"
21219,"GZ","71","71","634c","CDI","O","C","ct_9",1639,"tr_1"
21238,"CJ","83","83","534a","CDI","O","P","ct_9",1548,"tr_5"
21251,"LZ","50","50","543b","CDI","O","P","ct_8",500,"tr_1"
21254,"PZ","08","08","421b","AUT","O","C","ct_2",1820,"tr_1"
21257,"QB","54","88","434f","AUT","O","C","ct_3",1820,"tr_3"
21261,"KZ","35","35","376a","CDI","O","C","ct_1",3000,"tr_3"
21271,"NZ","06","06","684a","CDI","O","C","ct_9",2103,"tr_5"
21281,"QA","30","84","526b","CDI","O","P","ct_8",1077,"tr_2"
21288,"IZ","74","74","636d","CDI","O","P","ct_9",909,"tr_2"
21296,"PZ","44","44","422b","AUT","O","C","ct_1",1820,"tr_5"
21297,"MA","01","01","372e","CDI","O","P","ct_9",936,"tr_1"
21312,"SZ","76","76","441a","CDI","O","C","ct_8",700,"tr_1"
21315,"QB","72","72","563c","CDI","O","P","ct_9",1292,"tr_4"
21326,"IZ","75","75","636d","CDI","O","C","ct_9",721,"tr_0"
21347,"QA","63","63","632k","AUT","O","C","ct_3",522,"tr_5"
21349,"CA","50","35","641a","CDI","O","C","ct_9",1784,"tr_3"
21358,"NZ","85","49","684a","CDI","O","P","ct_9",1520,"tr_5"
21360,"KZ","38","38","676c","CDI","O","C","ct_5",978,"tr_4"
21363,"MC","94","94","543f","CDI","O","C","ct_9",1403,"tr_1"
21371,"LZ","72","72","387e","CDI","O","N","ct_5",1519,"tr_6"
21408,"CK","60","93","653a","CDI","O","C","ct_9",1821,"tr_3"
21419,"EZ","91","95","621e","CDI","O","C","ct_9",1622,"tr_3"
21425,"QB","44","44","525d","CDI","O","C","ct_8",1691,"tr_4"
21429,"PZ","78","92","524b","CDI","O","C","ct_1",1820,"tr_6"
21432,"QB","47","47","434f","CDI","O","C","ct_8",1660,"tr_4"
21434,"TZ","83","83","563c","CDI","O","C",NA,141,NA
21442,"IZ","21","21","636d","CDI","O","P","ct_9",549,"tr_1"
21446,"NZ","93","95","534a","CDI","O","P","ct_9",913,"tr_6"
21463,"GZ","77","75","554d","CDI","O","C","ct_9",1750,"tr_1"
21466,"OZ","31","31","524c","CDI","O","C","ct_2",1820,"tr_6"
21467,"GZ","79","79","387b","CDI","O","C","ct_9",1179,"tr_3"
21481,"KZ","94","93","543f","CDI","O","C","ct_9",1517,"tr_2"
21483,"OZ","94","94","526c","CDI","O","C","ct_8",2044,"tr_6"
21485,"QB","19","19","563a","CDI","O","N","ct_7",3000,"tr_1"
21490,"TZ","62","62","563c","CDI","O","N","ct_7",1483,"tr_0"
21506,"PZ","94","93","461b","CDI","O","C","ct_8",1112,"tr_1"
21509,"MA","75","31","388a","CDI","O","C",NA,131,NA
21536,"KZ","35","35","543f","CDI","O","C","ct_9",2028,"tr_1"
21539,"NZ","28","78","543f","TTP","O","C","ct_9",233,"tr_0"
21559,"QB","59","59","563a","CDI","O","N","ct_7",3000,"tr_1"
21564,"CB","59","59","543e","CDI","X","P","ct_9",796,"tr_5"
21567,"FZ","22","29","462e","CDI","O","C","ct_9",817,"tr_2"
21575,"CD","60","60","676c","CDI","O","C","ct_9",1837,"tr_3"
21579,"MC","22","22","526b","CDI","O","C","ct_9",1825,"tr_2"
21584,"AZ","51","51","691d","CDD","O","P",NA,347,NA
21589,"NZ","42","42","555a","CDI","O","C","ct_9",1483,"tr_3"
21600,"HZ","74","74","546e","CDI","O","C","ct_9",1738,"tr_5"
21624,"OZ","45","75","472d","AUT","O","C","ct_2",1923,"tr_3"
21638,"MB","30","30","451e","CDI","O","C","ct_1",1814,"tr_6"
21644,"QA","59","59","525d","CDI","O","C","ct_9",1820,"tr_4"
21645,"NZ","64","64","526b","CDI","O","P","ct_9",1230,"tr_1"
21658,"JC","06","06","388c","CDI","O","C","ct_9",2002,"tr_5"
21661,"OZ",NA,NA,"524c","AUT","X","P","ct_2",1123,"tr_6"
21662,"CA","12","12","525b","AUT","X","P","ct_1",1040,"tr_1"
21670,"DZ","57","57","485a","CDI","O","C","ct_9",1656,"tr_5"
21676,"QB","50","50","563b","CDI","O","P","ct_9",720,"tr_5"
21686,"KZ","54","57","467a","CDI","O","C","ct_9",1820,"tr_6"
21688,"GZ","61","53","463e","CDI","O","N","ct_9",717,"tr_2"
21691,"GZ","84","84","552a","CDI","O","C","ct_9",1967,"tr_5"
21702,"NZ","81","81","534a","CDI","O","C","ct_9",1878,"tr_2"
21716,"IZ","64","05","424a","CDI","O","C","ct_9",278,"tr_4"
21718,"FZ","91","91","543b","CDI","O","C","ct_9",1750,"tr_2"
21719,"GZ","88","88","554h","CDI","O","P","ct_9",896,"tr_1"
21738,"CL","79","79","462c","CDI","O","C","ct_9",766,"tr_6"
21761,"QB","30","30","525d","CDI","O","C","ct_8",1562,"tr_2"
21762,"QB","22","22","525d","CDI","O","P","ct_8",1396,"tr_2"
21776,"CA","45","66","543h","CDI","O","P",NA,182,NA
21801,"KZ","95","95","467d","CDI","O","C","ct_8",1820,"tr_2"
21819,"CB","66","66","676a","CDI","O","C","ct_9",1265,"tr_3"
21840,"HZ","32","32","451a","CDI","O","C","ct_9",1820,"tr_4"
21845,"OZ","57","57","472d","CDI","O","C","ct_2",2028,"tr_6"
21863,"TZ","45","45","563c","CDD","O","C",NA,176,NA
21868,"QB","17","17","563a","CDI","O","N","ct_7",1322,"tr_0"
21892,"CG","89","89","674a","CDI","O","C","ct_9",1820,"tr_3"
21894,"CC","59","59","386e","CDI","O","C","ct_9",2041,"tr_5"
21905,"HZ","77","94","389b","CDI","O","C","ct_9",1514,"tr_6"
21909,"TZ","42","42","563c","CDI","O","C",NA,445,NA
21911,"OZ","91","91","523b","AUT","O","C","ct_1",1517,"tr_4"
21916,"CC","62","62","485b","CDI","O","C","ct_9",1778,"tr_5"
21918,"QA","69","69","526b","CDI","O","C","ct_9",1522,"tr_1"
21938,"CM","44","44","477b","CDI","O","C","ct_9",733,"tr_6"
21942,"QB","84","13","526a","CDI","O","C","ct_8",1398,"tr_4"
21973,"QB","30","30","526c","CDI","O","C","ct_9",1013,"tr_1"
21988,"QB","31","31","526c","CDI","O","C","ct_9",1834,"tr_1"
21991,"FZ","94","91","621a","CDI","O","C","ct_9",1588,"tr_5"
22023,"EZ","35","35","628e","CDI","O","C","ct_9",1678,"tr_4"
22024,"PZ","59","59","422c","CDI","O","P","ct_8",485,"tr_4"
22025,"OZ","94","94","542a","CDI","O","C","ct_8",1820,"tr_3"
22026,"FZ","31","31","676a","CDI","O","P","ct_9",329,"tr_0"
22030,"HZ","29","29","641a","CDI","O","C","ct_9",2600,"tr_0"
22034,"QB","44","44","525d","CDI","O","P","ct_8",1550,"tr_1"
22056,"GZ","31","31","433d","CDI","O","C","ct_9",1728,"tr_1"
22058,"FZ","60","60","632a","CDI","O","C","ct_9",1734,"tr_3"
22064,"NZ","13","38","463d","CDI","O","C","ct_9",1809,"tr_5"
22083,"HZ","31","31","461d","CDI","O","C","ct_9",1820,"tr_6"
22088,"NZ","69","69","684a","CDI","O","P","ct_9",2603,"tr_6"
22106,"NZ","81","81","684a","CDD","O","P","ct_9",129,"tr_2"
22127,"QB","01","01","431f","CDI","O","C","ct_8",1183,"tr_4"
22132,"PZ","45","45","525a","CDI","O","P","ct_8",916,"tr_2"
22154,"QA","64","64","526a","CDI","O","C","ct_3",1824,"tr_5"
22155,"KZ","44","44","467b","CDI","O","P","ct_9",498,"tr_6"
22165,"PZ","35","35","422c","CDI","O","P","ct_8",1726,"tr_4"
22166,"PZ","92","75","373d","CDI","O","C","ct_9",1617,"tr_2"
22167,"QB","22","22","675c","CDI","O","C","ct_8",1806,"tr_4"
22173,"TZ","74","74","563c","AUT","O","P",NA,123,NA
22187,"NZ","95","93","534a","CDI","O","C","ct_9",2795,"tr_6"
22189,"PZ","37","37","341a","CDI","O","C","ct_8",1820,"tr_3"
22191,"CL","64","64","474c","CDI","O","C","ct_9",1627,"tr_5"
22203,"PZ","13","13","542a","CDI","O","C","ct_5",455,"tr_4"
22213,"HZ",NA,NA,"642a","CDI","O","P","ct_6",1248,"tr_1"
22230,"SZ",NA,NA,"684a","CDI","O","C","ct_8",648,"tr_1"
22232,"MA","91","91","474b","CDI","O","C","ct_9",1712,"tr_6"
22235,"CK","38","38","474a","CDI","O","C","ct_9",1820,"tr_5"
22242,"SZ","92","75","424a","CDI","O","C","ct_8",1820,"tr_1"
22252,"NZ","95","78","684a","CDI","O","C",NA,420,"tr_1"
22258,"PZ","13","13","341a","CDI","O","C","ct_8",1820,"tr_4"
22259,"HZ","33","33","451a","CDI","O","C","ct_9",1800,"tr_6"
22261,"KZ","92","75","542a","CDI","O","C","ct_9",1820,"tr_6"
22266,"TZ","69","69","563a","CDI","O","N","ct_7",706,"tr_1"
22268,"QB","24","24","526a","CDI","O","C","ct_8",948,"tr_3"
22275,"GZ","83","83","643a","CDI","O","C","ct_9",910,"tr_2"
22290,"CL","91","78","474b","CDI","O","P","ct_9",1552,"tr_6"
22303,"CA","53","53","462a","CDI","O","C","ct_9",600,"tr_1"
22309,"NZ","06","06","684a","CDI","O","C","ct_9",1425,"tr_4"
22318,"CJ","92","92","388a","CDI","O","C","ct_9",1799,"tr_5"
22328,"GZ","93","95","554f","CDI","O","C","ct_9",1123,"tr_1"
22335,"QB","38","38","563b","CDI","O","P",NA,770,NA
22336,"AZ","17","17","692a","TOA","O","C","ct_9",240,"tr_1"
22341,"GZ","13","13","676a","CDI","O","C","ct_9",304,"tr_3"
22346,"CA","56","56","674c","CDI","O","C","ct_9",1812,"tr_6"
22355,"OZ","14","14","333f","CDI","O","C","ct_2",1820,"tr_6"
22357,"QA","2B","2B","525d","CDD","O","C","ct_9",481,"tr_4"
22377,"KZ","94","93","376e","CDI","O","C","ct_9",1820,"tr_6"
22379,"DZ","13","13","386d","CDI","O","C","ct_9",1820,"tr_5"
22380,"PZ","31","31","422c","CDI","O","C","ct_8",1855,"tr_3"
22385,"TZ","56","56","563c","CDI","O","C",NA,304,NA
22423,"FZ","38","38","633a","CDI","O","P","ct_9",975,"tr_1"
22427,"MB","91","91","342g","CDI","O","C","ct_5",2080,"tr_6"
22429,"GZ","68",NA,"543h","CDI","O","C","ct_9",1383,"tr_1"
22433,"AZ","33","51","691d","CDI","O","C",NA,144,NA
22434,"NZ","31","31","684a","CDI","O","P","ct_9",1726,"tr_2"
22447,"MB","75","75","543h","CDI","O","C","ct_9",1443,"tr_1"
22458,"GZ","19","19","477c","CDI","O","C","ct_9",651,"tr_3"
22466,"GZ","50","50","676a","CDI","O","C","ct_9",1556,"tr_1"
22475,"GZ","31","31","551a","CDI","O","C","ct_9",1592,"tr_4"
22478,"HZ","49","49","641b","CDI","O","C","ct_9",1517,"tr_2"
22487,"QB","77","93","526d","CDI","O","C","ct_8",2814,"tr_4"
22503,"QA","62","62","526a","CDI","O","C","ct_8",2046,"tr_5"
22533,"SZ","94","94","542a","CDI","O","C","ct_8",659,"tr_1"
22537,"CL","59","59","673c","CDI","O","C","ct_9",1559,"tr_6"
22555,"CA","37","37","636c","CDI","O","C","ct_9",1829,"tr_2"
22556,"GZ","10","89","636a","CDI","O","C","ct_9",1941,"tr_4"
22568,"QA","38","38","434b","CDI","O","P","ct_8",546,"tr_6"
22571,"QB","59","59","525d","CDI","O","C","ct_8",1820,"tr_2"
22573,"OZ","68","68","461d","CDI","O","C","ct_8",813,"tr_6"
22590,"CL","76","27","477d","CDI","O","P","ct_9",699,"tr_6"
22593,"JA","59","59","388a","CDI","O","C","ct_9",1778,"tr_2"
22597,"QB","92","92","525d","CDI","O","C","ct_8",2201,"tr_2"
22599,"OZ","06","06","332b","CDI","O","C","ct_2",1820,"tr_6"
22600,"KZ","44","87","467a","CDI","O","C","ct_9",1820,"tr_5"
22608,"QB","95","95","525d","CDI","O","C","ct_8",1834,"tr_4"
22631,"MA","92","92","461d","CDI","O","C","ct_9",1799,"tr_2"
22642,"QA","24","24","526a","CDI","O","C","ct_8",288,"tr_6"
22653,"QA","74","74","526e","CDI","O","C","ct_9",1651,"tr_3"
22655,"QB",NA,NA,"526a","CDI","O","C","ct_8",1470,"tr_4"
22656,"CG","53","61","543e","CDI","O","P","ct_9",808,"tr_4"
22672,"GZ","83","83","462e","CDI","O","C","ct_9",1027,"tr_1"
22676,"JA","75","75","684a","CDI","O","C","ct_9",1820,"tr_6"
22678,"CA","45","45","625b","CDI","O","C","ct_9",1761,"tr_5"
22689,"TZ","55","55","563c","CDI","O","C",NA,470,NA
22693,"DZ","78","95","461d","CDI","O","C","ct_9",1770,"tr_5"
22724,"CE","66","92","385c","CDI","O","C","ct_9",832,"tr_5"
22726,"HZ","73","73","546b","TOA","O","C","ct_9",835,"tr_4"
22731,"QB","53","53","525d","CDI","O","P","ct_8",1816,"tr_5"
22732,"IZ","75","93","636d","CDI","O","C","ct_9",917,"tr_2"
