pkey,Type_of_contract,PAY,job_dep,employer_type,employee_count,work_condition,ECO_SECT,JOB_CATEGORY,working_hours,work_desc
8229,"CDI",28312,"13","ct_8","tr_6","C","OZ","O",1849,"478a"
8231,"CDI",2534,"13",NA,NA,"C","CM","O",342,"542a"
8245,"CDI",14495,"13","ct_7","tr_1","N","TZ","O",1361,"563c"
8247,"CDI",23026,"13","ct_8","tr_6","C","OZ","O",1985,"545d"
8248,"CDI",30735,"13","ct_8","tr_3","C","PZ","O",1820,"422b"
8251,"CDI",47583,"13","ct_1","tr_4","C","OZ","O",1820,"373b"
8261,"CDI",4354,"13","ct_9","tr_2","C","GZ","O",515,"477c"
8269,"CDI",17648,"13","ct_9","tr_1","C","QA","O",1452,"526b"
8270,"TTP",12643,"13","ct_9","tr_1","C","NZ","O",1243,"676c"
8271,"CDI",23575,"13","ct_9","tr_1","C","NZ","O",1760,"684a"
8277,"CDI",15408,"13","ct_9","tr_4","P","QB","O",1524,"525d"
8288,"CDI",55417,"13","ct_8","tr_1","C","PZ","O",1820,"342b"
8294,"CDI",12560,"13","ct_8","tr_3","C","QB","O",1492,"525d"
8308,"CDI",25519,"13","ct_9","tr_3","C","FZ","O",1820,"483a"
8316,"CDI",7454,"13","ct_9","tr_1","C","GZ","O",636,"554f"
8320,"CDI",29056,"13","ct_9","tr_2","C","GZ","O",2248,"462a"
8335,"CDI",14208,"13","ct_9","tr_1","C","IZ","O",1186,"561d"
8344,"AUT",7148,"13","ct_8","tr_3","P","QB","X",867,"435b"
8345,"CDI",17089,"13","ct_9","tr_6","C","NZ","O",1820,"534a"
8352,"CDI",5298,"13","ct_8","tr_3","P","NZ","O",613,"525d"
8355,"CDI",20202,"13","ct_9","tr_5","C","HZ","O",1533,"546c"
8361,"CDI",39439,"13","ct_9","tr_6","C","CL","O",1534,"624b"
8372,"TTP",8402,"13","ct_9","tr_1","C","NZ","O",862,"676c"
8373,"CDI",19691,"13","ct_9","tr_3","C","QB","O",1761,"526d"
8374,"CDI",48595,"92","ct_9","tr_5","C","MA","O",1844,"384a"
8378,"CDI",30597,"13","ct_9","tr_1","C","LZ","O",1359,"463e"
8385,"CDI",16945,"13","ct_9","tr_2","C","QB","O",1995,"525d"
8392,"CDI",30039,"13","ct_9","tr_2","C","GZ","O",2000,"462e"
8393,"CDI",62666,"13","ct_9","tr_6","C","NZ","O",1872,"344b"
8407,"CDI",24822,"13","ct_9","tr_6","C","CM","O",1461,"474b"
8408,"CDI",2851,"13","ct_8","tr_1","P","SZ","O",195,"564b"
8410,"CDI",39108,"13","ct_9","tr_5","C","DZ","O",1771,"477b"
8415,"CDI",26962,"13","ct_9","tr_2","C","NZ","O",1621,"433a"
8417,"CDI",19363,"13","ct_8","tr_6","C","QA","O",1839,"525d"
8420,"CDI",26599,"13","ct_9","tr_5","C","HZ","O",1821,"451a"
8421,"CDI",13581,"13","ct_8","tr_4","P","PZ","O",1305,"525b"
8427,"CDI",24333,"13","ct_9","tr_5","C","GZ","O",1938,"641a"
8430,"CDI",17072,"13","ct_9","tr_1","C","KZ","O",1618,"526b"
8435,"CDI",28636,"13","ct_5","tr_5","P","KZ","O",1459,"545a"
8438,"APP",14152,"13","ct_9","tr_1","C","GZ","A",1768,"433d"
8442,"CDI",19852,"13","ct_8","tr_3","C","QB","O",1820,"434d"
8450,"AUT",26456,"13","ct_1","tr_5","C","OZ","O",1820,"531c"
8458,"CDI",50347,"13","ct_8","tr_3","C","SZ","O",1820,"372b"
8460,"CDI",37711,"13","ct_9","tr_5","N","CM","O",1586,"387d"
8461,"CDI",29346,"13","ct_9","tr_5","C","GZ","O",1846,"478c"
8471,"CDI",41021,"13","ct_9","tr_1","C","GZ","O",1903,"384b"
8476,"CDI",49289,"13","ct_9","tr_6","C","LZ","O",1834,"461d"
8480,"CDI",23227,"72","ct_8","tr_4","C","PZ","O",1820,"341a"
8481,"CDI",21991,"13","ct_7","tr_1","N","QB","O",2359,"563b"
8485,"CDI",6821,"13","ct_9","tr_0","P","IZ","O",870,"561c"
8488,"CDI",23668,"13","ct_9","tr_1","C","GZ","O",1505,"553b"
8499,"AUT",20226,"13","ct_2","tr_6","C","OZ","O",1828,"621f"
8502,"CDI",19255,"13","ct_8","tr_4","C","QB","O",1849,"526d"
8505,"CDI",24344,"13","ct_9","tr_4","C","DZ","O",1687,"625h"
8517,"CDI",17031,"83","ct_9","tr_1","C","GZ","O",1658,"552a"
8519,"CDI",35747,"13","ct_9","tr_4","C","HZ","O",1820,"374c"
8531,"CDI",12800,"13","ct_8","tr_0","P","QB","O",1240,"526c"
8538,"CDI",18438,"78","ct_9","tr_6","C","NZ","O",1926,"534a"
8551,"CDD",2856,"50","ct_9","tr_0","C","HZ","O",224,"656b"
8559,"CDI",25081,"13","ct_8","tr_4","C","QA","O",1941,"526a"
8563,"CDI",36749,"13","ct_9","tr_6","C","CE","O",1753,"486e"
8564,"CDI",24470,"13","ct_9","tr_4","C","NZ","O",1380,"534a"
8567,"CDI",50517,"13","ct_9","tr_1","C","JC","O",1894,"352a"
8577,"CDI",25823,"13","ct_9","tr_6","C","HZ","O",1820,"333c"
8593,"CDI",14590,"13","ct_9","tr_1","C","MC","O",860,"643a"
8595,"CDI",14061,"13","ct_9","tr_1","C","MA","O",1401,"382b"
8601,"CDI",51511,"13","ct_9","tr_3","C","GZ","O",1547,"486d"
8606,"CDI",23142,"13","ct_9","tr_4","C","HZ","O",1809,"676c"
8623,"CDI",12502,"13","ct_9","tr_3","C","MA","O",936,"479b"
8647,"CDI",3961,"13",NA,NA,"C","GZ","O",312,"551a"
8654,"CDI",22051,"13","ct_8","tr_5","C","PZ","O",1799,"422d"
8656,"CDD",9331,"83","ct_9","tr_0","N","IZ","O",656,"636d"
8663,"AUT",2509,"13","ct_8","tr_1","P","RZ","O",292,"435b"
8664,"CDI",16804,"13","ct_9","tr_2","C","GZ","O",1625,"676c"
8674,"CDI",37693,"13","ct_9","tr_6","C","CL","O",1924,"624c"
8678,"CDD",16954,"13","ct_8","tr_4","C","QB","O",1684,"434b"
8685,"CDI",47549,"13","ct_9","tr_6","C","CL","O",1745,"384b"
8686,"CDI",16835,"13","ct_9","tr_2","C","GZ","O",1813,"643a"
8692,"CDD",14325,"13","ct_8","tr_4","C","QB","O",1396,"461f"
8698,"CDI",28350,"13","ct_9","tr_6","C","KZ","O",1820,"467b"
8707,"CDI",11457,"13","ct_9","tr_1","C","SZ","O",1334,"562b"
8713,"CDI",11848,"13","ct_9","tr_4","C","NZ","O",742,"462e"
8737,"CDI",11424,"13","ct_8","tr_5","C","QB","O",1408,"525d"
8750,"CDI",36081,"13","ct_9","tr_4","C","EZ","O",1827,"477d"
8756,"CDI",50899,"13","ct_9","tr_6","C","MA","O",1825,"386b"
8766,"CDI",27579,"13","ct_9","tr_1","C","GZ","O",1765,"374a"
8772,"CDI",9141,"13","ct_9","tr_2","C","NZ","O",1096,"684a"
8783,"CDD",16364,"13","ct_8","tr_6","C","QA","O",1548,"525d"
8784,"CDI",18094,"13","ct_8","tr_3","C","MA","O",1820,"461e"
8789,"CDI",35999,"13","ct_9","tr_6","C","EZ","O",1739,"372b"
8805,"CDI",2423,"13",NA,NA,"C","PZ","O",242,"524b"
8807,"CDI",12579,"13","ct_9","tr_6","C","HZ","O",920,"534a"
8809,"CDI",32476,"13","ct_9","tr_2","C","JC","O",1820,"373d"
8811,"CDI",21888,"13","ct_9","tr_1","C","FZ","O",1554,"671c"
8813,"CDI",47634,"13","ct_9","tr_5","C","JC","O",1806,"372a"
8815,"CDI",14783,"13","ct_9","tr_1","C","GZ","O",1820,"374a"
8818,"CDI",24122,"13","ct_9","tr_6","C","QA","O",1818,"431f"
8823,"CDI",20382,"13","ct_9","tr_5","C","NZ","O",1826,"684a"
8836,"CDI",78720,"91","ct_9","tr_6","C","MA","O",1820,"385a"
8842,"AUT",2874,"13","ct_9","tr_3","C","FZ","X",289,"682a"
8844,"APP",14996,"84","ct_9","tr_2","C","FZ","A",1619,"633a"
8848,"CDI",31691,"13","ct_9","tr_3","C","HZ","O",1792,"466c"
8866,"CDD",13815,"13","ct_9","tr_6","C","HZ","O",824,"546b"
8870,"CDI",18008,"13","ct_9","tr_3","C","QB","O",1603,"525d"
8872,"CDI",27788,"13","ct_9","tr_5","C","GZ","O",1868,"462b"
8874,"CDI",68563,"13","ct_9","tr_6","C","CI","O",1820,"374c"
8876,"CDI",38931,"13","ct_9","tr_3","C","MA","O",1740,"372a"
8883,"CDI",24482,"13","ct_9","tr_6","C","KZ","O",1820,"467a"
8885,"CDI",74795,"75","ct_9","tr_5","C","NZ","O",1828,"374d"
8890,"CDI",5082,"13","ct_9","tr_4","C","QB","O",405,"525d"
8892,"AUT",3795,"13",NA,NA,"C","RZ","O",133,"354b"
8907,"CDD",19810,"13","ct_8","tr_4","C","QB","O",1569,"526a"
8923,"CDI",15184,"13","ct_9","tr_6","C","HZ","O",1500,"676c"
8927,"CDI",20650,"13","ct_9","tr_5","C","QA","O",1517,"423b"
8929,"CDI",36250,"13","ct_9","tr_5","C","GZ","O",1771,"387b"
8931,"CDI",30313,"13","ct_9","tr_2","C","EZ","O",1827,"543g"
8935,"CDI",8466,"13","ct_9","tr_1","C","IZ","O",873,"488a"
8937,"CDI",21540,"13","ct_8","tr_1","C","QB","O",1820,"526d"
8957,"CDI",32990,"13","ct_9","tr_1","C","MA","O",1661,"372b"
8961,"CDI",21937,"13","ct_9","tr_4","P","QA","O",1295,"431f"
8970,"CDD",22600,"13","ct_5","tr_6","C","MB","O",2080,"342g"
8984,"CDI",16152,"13","ct_9","tr_1","C","LZ","O",1635,"463e"
8988,"CDI",24596,"13","ct_8","tr_4","P","QB","O",1363,"431f"
8989,"CDI",21853,"13","ct_9","tr_1","C","GZ","O",1423,"554e"
8992,"APP",3889,"84","ct_9","tr_1","C","KZ","A",547,"376e"
8998,"APP",16417,"13","ct_9","tr_1","C","FZ","A",1598,"681b"
9005,"CDI",3019,"13",NA,NA,"C","OZ","O",342,"524c"
9014,"CDI",17827,"13","ct_9","tr_3","C","CL","O",1618,"624c"
9018,"CDI",31221,"13","ct_8","tr_4","C","PZ","O",1820,"525b"
9025,"CDI",16919,"13","ct_8","tr_1","C","QB","O",1785,"525d"
9030,"CDI",14351,"13","ct_9","tr_3","C","QB","O",1486,"526c"
9032,"CDI",39043,"13","ct_9","tr_1","C","LZ","O",1820,"372a"
9036,"CDI",37889,"13","ct_9","tr_6","C","KZ","O",1820,"461f"
9038,"CDI",3239,"13",NA,NA,"C","GZ","O",372,"554a"
9046,"CDI",33814,"13","ct_9","tr_4","C","QB","O",2855,"526a"
9047,"CDI",25264,"13","ct_8","tr_5","C","QA","O",1437,"525d"
9054,"CDI",36622,"13","ct_9","tr_4","C","HZ","O",1993,"466c"
9059,"CDI",23877,"13","ct_4","tr_3","C","OZ","O",1693,"451e"
9063,"CDI",34181,"13","ct_9","tr_4","C","MA","O",1454,"372a"
9067,"CDI",6505,"13","ct_9","tr_1","P","CA","O",855,"554a"
9069,"CDI",24868,"13","ct_9","tr_3","C","FZ","O",1697,"481b"
9099,"CDI",14876,"84","ct_8","tr_6","C","QA","O",1110,"526a"
9102,"CDI",3975,"13","ct_9","tr_1","C","FZ","O",359,"632j"
9105,"CDI",41359,"13","ct_9","tr_6","C","CL","O",1843,"474b"
9106,"CDI",54396,"13","ct_5","tr_6","C","MB","O",2080,"342g"
9118,"APP",4799,"13","ct_9","tr_1","C","SZ","A",375,"562b"
9127,"CDI",11390,"13","ct_8","tr_1","P","RZ","O",835,"424a"
9143,"CDI",22091,"13","ct_8","tr_3","C","PZ","O",1820,"477a"
9149,"CDI",4232,"13","ct_8","tr_3","C","QB","O",357,"526c"
9152,"CDI",31844,"13","ct_9","tr_1","C","KZ","O",1820,"376d"
9157,"CDI",59368,"13","ct_9","tr_5","C","JC","O",1626,"388a"
9182,"CDI",20026,"13","ct_9","tr_3","C","GZ","O",1811,"487a"
9185,"CDI",18205,"13","ct_8","tr_2","C","QB","O",1820,"564b"
9187,"AUT",36124,"13","ct_1","tr_4","C","PZ","O",1820,"341a"
9188,"CDI",33609,"13","ct_9","tr_5","C","HZ","O",1743,"389a"
9201,"CDI",18476,"13","ct_1","tr_5","C","PZ","O",1820,"524b"
9227,"CDI",16825,"13","ct_9","tr_5","C","NZ","O",1547,"534a"
9230,"CDI",49849,"13","ct_9","tr_6","C","KZ","O",1820,"376d"
9232,"CDI",21468,"13","ct_9","tr_5","C","FZ","O",1640,"621b"
9235,"CDI",10948,"13","ct_9","tr_3","P","GZ","O",1047,"551a"
9245,"CDI",39846,"13","ct_9","tr_4","C","JA","O",1673,"478c"
9251,"CDI",17692,"13","ct_2","tr_4","C","OZ","O",1678,"451g"
9253,"CDI",23572,"13","ct_9","tr_2","P","FZ","O",1653,"543h"
9257,"AUT",32009,"13","ct_2","tr_6","C","OZ","O",1820,"472d"
9268,"CDI",14551,"13","ct_8","tr_3","C","QB","O",1404,"525d"
9270,"CDI",21083,"13","ct_8","tr_1","C","RZ","O",1597,"353b"
9271,"CDI",35537,"13","ct_5","tr_6","C","HZ","O",1816,"654b"
9280,"CDI",20063,"52","ct_9","tr_3","C","HZ","O",1638,"451a"
9281,"CDI",32568,"13","ct_7","tr_0","N","TZ","O",2574,"563c"
9282,"CDI",45092,"83","ct_9","tr_2","C","KZ","O",1813,"376e"
9283,"CDI",31099,"13","ct_8","tr_6","C","OZ","O",1867,"543e"
9284,"CDI",8263,"13","ct_9","tr_5","C","IZ","O",1043,"561c"
9290,"CDI",53186,"13","ct_9","tr_6","C","CL","O",1906,"383b"
9292,"CDI",3633,"13",NA,NA,"C","PZ","O",152,"421a"
9301,"CDI",3862,"13",NA,NA,"C","SZ","O",470,"424a"
9306,"CDI",13138,"13","ct_8","tr_2","P","PZ","O",982,"422c"
9308,"CDI",38279,"13","ct_9","tr_6","C","CH","O",1651,"626b"
9316,"CDI",12789,"13","ct_9","tr_1","C","NZ","O",1559,"691e"
9319,"CDI",14049,"13","ct_7","tr_1","N","TZ","O",1931,"563c"
9321,"CDI",31447,"13","ct_5","tr_4","C","NZ","O",1604,"479b"
9324,"CDI",2525,"13","ct_9","tr_3","C","EZ","O",306,"676a"
9327,"CDI",55880,"13","ct_9","tr_6","C","CL","O",1906,"384a"
9330,"CDI",4154,"13","ct_9","tr_3","C","QB","O",663,"525d"
9352,"CDI",27642,"84","ct_8","tr_4","C","PZ","O",1785,"422d"
9358,"CDD",17773,"13","ct_8","tr_4","C","QB","O",1824,"542a"
9362,"CDI",5500,"13","ct_9","tr_1","C","SZ","O",476,"477c"
9368,"CDD",18351,"75","ct_9","tr_3","C","MA","O",1170,"375a"
9377,"AUT",24886,"13","ct_2","tr_6","C","OZ","O",1819,"451g"
9384,"CDI",34547,"13","ct_9","tr_3","C","GZ","O",1780,"633c"
9392,"CDI",28966,"13","ct_9","tr_2","C","NZ","O",1715,"641a"
9395,"CDI",27945,"13","ct_9","tr_2","C","MA","O",1694,"461d"
9398,"AUT",3002,"13","ct_9","tr_4","C","JC","X",888,"383a"
9402,"CDI",22657,"13","ct_9","tr_2","C","GZ","O",1701,"543f"
9407,"CDI",38119,"13","ct_9","tr_1","C","EZ","O",1699,"625h"
9414,"CDI",14312,"13","ct_8","tr_3","C","QB","O",1780,"526d"
9416,"CDI",48753,"68","ct_9","tr_3","C","GZ","O",1570,"463c"
9417,"TTP",23615,"13","ct_9","tr_1","C","NZ","O",1527,"651a"
9418,"CDI",44195,"13","ct_5","tr_3","C","KZ","O",1820,"373b"
9422,"CDI",39026,"13","ct_5","tr_6","C","MB","O",2009,"342g"
9433,"CDI",5621,"13","ct_9","tr_1","P","NZ","O",552,"684a"
9438,"CDI",6138,"13","ct_7","tr_1","N","QB","O",681,"563b"
9442,"CDI",24083,"95","ct_9","tr_6","C","FZ","O",1895,"461b"
9443,"CDI",26199,"13","ct_9","tr_6","P","HZ","O",1695,"333c"
9445,"CDD",3222,"31",NA,NA,"C","HZ","O",334,"643a"
9447,"CDD",8353,"13","ct_8","tr_1","C","QB","O",803,"434b"
9451,"CDI",14604,"13","ct_9","tr_4","C","HZ","O",1750,"643a"
9452,"CDD",23822,"13","ct_1","tr_5","C","PZ","O",1820,"451e"
9453,"CDI",25270,"13","ct_9","tr_1","C","GZ","O",1820,"433d"
9460,"CDI",34448,"13","ct_5","tr_6","C","HZ","O",1792,"466c"
9462,"CDI",22575,"13","ct_9","tr_4","C","EZ","O",1311,"651a"
9466,"CDD",8202,"13","ct_9","tr_5","C","HZ","O",948,"643a"
9469,"CDI",22337,"13","ct_8","tr_6","C","QA","O",1786,"526c"
9475,"CDI",29105,"13","ct_9","tr_4","C","GZ","O",1375,"463b"
9489,"CDI",27434,"13","ct_9","tr_3","C","GZ","O",1820,"373c"
9493,"CDI",28230,"13","ct_9","tr_1","C","FZ","O",1724,"476b"
9509,"CDI",66806,"13","ct_9","tr_2","C","GZ","O",1736,"374b"
9521,"CDI",33915,"13","ct_8","tr_6","C","QA","O",1785,"431f"
9527,"CDI",30552,"13","ct_9","tr_6","P","CL","O",1551,"383b"
9530,"CDI",47218,"13","ct_9","tr_3","C","GZ","O",1551,"463b"
9534,"CDI",34269,"04","ct_9","tr_3","C","CA","O",1680,"463c"
9538,"CDI",10835,"13","ct_9","tr_3","C","PZ","O",1136,"423a"
9545,"CDI",7902,"75","ct_9","tr_5","C","MA","O",848,"333e"
9546,"CDI",1912,"13",NA,NA,"C","PZ","O",152,"422c"
9550,"CDI",28346,"13","ct_8","tr_3","C","QB","O",3000,"526d"
9561,"CDI",30656,"75","ct_9","tr_4","C","MA","O",1855,"478b"
9562,"CDI",18175,"13","ct_8","tr_1","C","QA","O",1734,"526b"
9576,"CDI",21573,"13","ct_9","tr_3","C","GZ","O",1731,"676c"
9586,"CDI",20173,"13","ct_9","tr_3","C","NZ","O",2094,"684a"
9596,"CDI",52801,"91","ct_9","tr_6","C","MA","O",1820,"385a"
9599,"CDI",37612,"13","ct_8","tr_6","C","KZ","O",1805,"467c"
9602,"CDI",7337,"13","ct_9","tr_3","C","MA","O",457,"641a"
9606,"CDI",14705,"13","ct_9","tr_5","P","PZ","O",1113,"341a"
9649,"CDI",48258,"13","ct_9","tr_4","C","CH","O",1682,"628g"
9650,"CDI",29542,"13","ct_9","tr_2","C","GZ","O",1771,"543f"
9659,"CDI",21459,"13","ct_9","tr_5","C","CG","O",1785,"674d"
9661,"CDI",2357,"13","ct_9","tr_3","P","GZ","O",230,"551a"
9664,"CDI",52759,"83","ct_9","tr_5","C","QA","O",1526,"431a"
9665,"CDI",49912,"69","ct_9","tr_5","C","FZ","O",1631,"382c"
9668,"CDI",24946,"13","ct_9","tr_1","C","HZ","O",1820,"546c"
9671,"CDI",57668,"13","ct_9","tr_6","C","DZ","O",1771,"374c"
9684,"CDI",45229,"84","ct_9","tr_5","C","HZ","O",1661,"389a"
9689,"AUT",3399,"67","ct_9","tr_6","C","GZ","O",607,"463e"
9690,"CDI",12114,"13","ct_9","tr_5","C","GZ","O",1097,"552a"
9693,"CDI",17244,"13","ct_9","tr_3","C","HZ","O",1487,"643a"
9703,"CDI",22961,"13","ct_9","tr_1","C","LZ","O",1820,"376g"
9706,"AUT",24270,"13","ct_1","tr_6","C","OZ","O",1820,"531c"
9709,"CDI",37692,"13","ct_9","tr_6","C","CL","O",1916,"474c"
9710,"CDI",24866,"13","ct_9","tr_2","C","GZ","O",1658,"433d"
9712,"CDI",24539,"13","ct_9","tr_3","C","FZ","O",1820,"632a"
9715,"CDI",50880,"13","ct_9","tr_1","N","GZ","O",1820,"462a"
9717,"AUT",9674,"13",NA,NA,"C","JA","O",426,"465b"
9730,"CDI",27475,"83","ct_9","tr_3","C","NZ","O",1487,"641a"
9733,"CDI",3280,"13","ct_9","tr_6","P","NZ","O",336,"534a"
9738,"CDI",22839,"13","ct_9","tr_5","C","NZ","O",1951,"534a"
9740,"CDI",24989,"13","ct_9","tr_6","C","GZ","O",2049,"534a"
9742,"CDI",29310,"13","ct_9","tr_6","C","CA","O",1687,"625a"
9743,"APP",4774,"13","ct_9","tr_2","C","FZ","A",1706,"681a"
9752,"CDI",21566,"13","ct_9","tr_1","C","QA","O",1673,"526b"
9757,"CDI",29370,"13","ct_8","tr_5","P","PZ","O",1492,"341a"
9758,"CDI",29337,"13","ct_9","tr_1","C","MA","O",1746,"375a"
9759,"CDD",14844,"13","ct_8","tr_3","C","QB","O",781,"563b"
9763,"CDI",5991,"13","ct_9","tr_3","C","GZ","O",487,"554b"
9768,"CDI",18798,"13","ct_8","tr_4","C","QB","O",1472,"434d"
9774,"CDI",2932,"13",NA,NA,"C","QB","O",298,"563a"
9777,"CDI",12832,"13","ct_9","tr_1","P","GZ","O",1225,"554e"
9795,"CDI",25484,"13","ct_9","tr_1","C","GZ","O",1823,"462a"
9796,"CDI",2363,"13","ct_9","tr_0","P","IZ","O",240,"561c"
9797,"CDI",20587,"13","ct_9","tr_2","C","GZ","O",1820,"554j"
9799,"CDI",11193,"13","ct_7","tr_1","N","QB","O",1318,"563b"
9800,"CDI",23157,"13","ct_9","tr_4","C","EZ","O",1697,"628e"
9813,"CDI",28487,"13","ct_9","tr_5","C","EZ","O",1800,"481a"
9816,"CDI",15909,"13","ct_9","tr_2","C","NZ","O",1751,"684a"
9817,"CDI",9628,"13","ct_8","tr_2","P","PZ","O",1040,"525b"
9825,"CDI",3192,"13","ct_8","tr_3","P","QB","O",429,"563b"
9827,"CDI",25034,"13","ct_9","tr_3","C","QA","O",1887,"433a"
9832,"CDI",22624,"13","ct_9","tr_1","C","QA","O",1864,"433a"
9835,"CDI",18410,"13","ct_2","tr_1","P","GZ","O",1560,"524c"
9837,"CDI",33969,"13","ct_8","tr_6","C","QA","O",2066,"433a"
9851,"CDI",28374,"13","ct_9","tr_1","C","CM","O",1848,"672a"
9852,"CDI",21087,"13","ct_9","tr_4","C","CM","O",1423,"474b"
9858,"CDI",50178,"84","ct_9","tr_4","C","KZ","O",1820,"376c"
9869,"CDI",3067,"13","ct_8","tr_3","P","QB","O",205,"632k"
9873,"CDI",27754,"13","ct_9","tr_2","C","MA","O",2008,"461e"
9878,"CDD",9558,"13","ct_8","tr_5","C","QB","O",828,"526a"
9884,"CDI",27005,"13","ct_9","tr_3","C","QB","O",1750,"434a"
9885,"CDI",46247,"13","ct_9","tr_1","C","GZ","O",2060,"433c"
9886,"APP",8806,"13","ct_9","tr_1","C","GZ","A",1464,"562a"
9900,"CDI",39498,"13","ct_9","tr_5","C","MA","O",2044,"382a"
9921,"CDI",15390,"13","ct_9","tr_1","C","GZ","O",1417,"462b"
9922,"CDI",41554,"13","ct_9","tr_6","C","JC","O",2069,"384a"
9927,"CDI",7988,"13",NA,NA,"C","TZ","O",797,"563c"
9930,"CDI",14093,"13","ct_8","tr_3","C","QB","O",1418,"526d"
9938,"TTP",2034,"13","ct_9","tr_1","N","NZ","O",285,"652a"
9940,"CDI",15669,"13","ct_9","tr_5","C","MA","O",1449,"555a"
9950,"CDD",16750,"13","ct_9","tr_3","C","IZ","O",1364,"462a"
9953,"AUT",4066,"94","ct_1","tr_6","C","OZ","O",303,"531a"
9962,"CDI",23849,"13","ct_9","tr_2","C","QA","O",1632,"526e"
9963,"CDI",8889,"13","ct_8","tr_5","P","PZ","O",1191,"542a"
9965,"AUT",26075,"13","ct_1","tr_4","C","PZ","O",1820,"341a"
9966,"CDI",37305,"13","ct_4","tr_5","C","OZ","O",1820,"371a"
9970,"CDI",15973,"13","ct_9","tr_1","C","FZ","O",1397,"681a"
9973,"CDI",17074,"13","ct_9","tr_4","C","GZ","O",1538,"652a"
9975,"CDI",8488,"13","ct_9","tr_2","C","IZ","O",1547,"468b"
9982,"CDI",24574,"13","ct_9","tr_5","C","MA","O",1757,"542a"
9983,"CDI",20871,"13","ct_9","tr_4","C","QB","O",1938,"526a"
10000,"CDI",17055,"13","ct_9","tr_2","C","GZ","O",1783,"676c"
10002,"CDD",3758,"13","ct_8","tr_4","P","QB","O",411,"563b"
10003,"CDI",6482,"13","ct_9","tr_1","C","CC","O",980,"465a"
10006,"CDI",25562,"13","ct_9","tr_6","C","CK","O",1752,"622e"
10007,"CDI",28994,"13","ct_9","tr_5","C","HZ","O",1832,"333c"
10020,"CDI",19754,"13","ct_9","tr_5","C","HZ","O",1820,"521a"
10021,"CDI",36078,"13","ct_9","tr_3","C","GZ","O",1478,"463b"
10023,"AUT",34262,"13","ct_2","tr_6","P","OZ","O",1374,"333f"
10029,"CDI",23397,"13","ct_8","tr_2","C","QB","O",1820,"526a"
10033,"CDI",10488,"13","ct_9","tr_5","C","FZ","O",989,"461e"
10036,"CDI",26429,"13","ct_9","tr_1","P","KZ","O",1368,"467c"
10039,"CDD",3428,"13","ct_8","tr_3","P","QB","O",409,"435b"
10043,"CDI",26016,"13","ct_3","tr_6","C","QB","O",1820,"431f"
10054,"CDI",13474,"13","ct_9","tr_3","P","NZ","O",1160,"684a"
10060,"CDI",17386,"13","ct_9","tr_1","C","FZ","O",1566,"681a"
10061,"CDI",6913,"13","ct_8","tr_5","C","QB","O",600,"434d"
10063,"CDD",16594,"13","ct_9","tr_5","C","QA","O",1720,"433a"
10064,"CDI",24975,"13","ct_9","tr_6","C","GZ","O",2049,"534a"
10077,"CDI",37678,"13","ct_9","tr_1","C","JA","O",2028,"388b"
10084,"CDI",18758,"13","ct_9","tr_3","C","EZ","O",1421,"481b"
10098,"CDI",23421,"13","ct_9","tr_2","C","HZ","O",2391,"641a"
10101,"CDI",11051,"13","ct_7","tr_1","N","QB","O",1344,"563b"
10106,"CDI",37048,"13","ct_9","tr_1","C","MA","O",1736,"372b"
10108,"CDI",8457,"13","ct_8","tr_5","P","QB","O",1097,"563b"
10109,"CDI",64796,"13","ct_9","tr_5","C","FZ","O",1820,"382c"
10114,"CDI",3159,"13",NA,"tr_1","C","NZ","O",433,"684a"
10116,"CDI",36400,"13","ct_8","tr_5","C","PZ","O",1820,"341a"
10118,"CDI",57619,"13","ct_9","tr_6","C","EZ","O",1820,"386d"
10132,"CDI",20941,"13","ct_8","tr_6","C","QA","O",1820,"451h"
10138,"CDI",42297,"92","ct_9","tr_6","C","GZ","O",2028,"463b"
10146,"CDI",50300,"13","ct_9","tr_5","C","SZ","O",1782,"374a"
10149,"CDI",40484,"13","ct_9","tr_3","C","JA","O",1824,"373c"
10156,"CDD",23916,"13","ct_2","tr_6","C","OZ","O",1820,"524c"
10159,"CDI",5353,"13","ct_9","tr_2","C","GZ","O",533,"551a"
10161,"CDI",11488,"13","ct_9","tr_2","C","PZ","O",1317,"423b"
10162,"CDI",25883,"13","ct_9","tr_5","C","HZ","O",1822,"333c"
10166,"CDI",12286,"13","ct_9","tr_6","P","NZ","O",1328,"684a"
10174,"AUT",55002,"13","ct_1","tr_5","C","OZ","O",1820,"389b"
10177,"CDI",24640,"13","ct_9","tr_1","C","EZ","O",2200,"644a"
10181,"CDI",16735,"13","ct_8","tr_1","C","QA","O",1183,"526b"
10195,"CDI",26085,"30","ct_9","tr_4","C","HZ","O",1529,"466c"
10201,"APP",2398,"13","ct_9","tr_4","C","IZ","A",364,"561d"
10210,"AUT",24996,"13","ct_2","tr_6","C","OZ","O",1819,"523c"
10211,"CDI",26092,"13","ct_8","tr_2","C","PZ","O",870,"421b"
10213,"CDI",16712,"13","ct_9","tr_3","C","QB","O",1820,"526a"
10227,"CDI",19410,"13","ct_9","tr_1","C","GZ","O",1779,"462b"
10235,"CDI",26442,"13","ct_9","tr_4","C","FZ","O",1820,"621a"
10236,"CDI",23254,"13","ct_9","tr_6","C","EZ","O",1442,"462e"
10240,"CDI",44603,"13","ct_3","tr_6","C","QA","O",1823,"332b"
